t,r,m,c,value
1825,ROW,Sn,concentrate,0.0
1825,ROW,Sn,refined_metal,0.0
1825,ROW,Sn,scrap,0.0
1826,EU27,Zn,concentrate,0.0
1826,EU27,Zn,refined_metal,0.0
1826,EU27,Zn,scrap,0.0
1826,EU27,Ni,concentrate,0.0
1826,EU27,Ni,refined_metal,0.0
1826,EU27,Ni,scrap,0.0
1826,EU27,Sn,concentrate,0.0
1826,EU27,Sn,refined_metal,0.0
1826,EU27,Sn,scrap,0.0
1826,CHN,Zn,concentrate,0.0
1826,CHN,Zn,refined_metal,0.0
1826,CHN,Zn,scrap,0.0
1826,CHN,Ni,concentrate,0.0
1826,CHN,Ni,refined_metal,0.0
1826,CHN,Ni,scrap,0.0
1826,CHN,Sn,concentrate,0.0
1826,CHN,Sn,refined_metal,0.0
1826,CHN,Sn,scrap,0.0
1826,ROW,Zn,concentrate,0.0
1826,ROW,Zn,refined_metal,0.0
1826,ROW,Zn,scrap,0.0
1826,ROW,Ni,concentrate,0.0
1826,ROW,Ni,refined_metal,0.0
1826,ROW,Ni,scrap,0.0
1826,ROW,Sn,concentrate,0.0
1826,ROW,Sn,refined_metal,0.0
1826,ROW,Sn,scrap,0.0
1827,EU27,Zn,concentrate,0.0
1827,EU27,Zn,refined_metal,0.0
1827,EU27,Zn,scrap,0.0
1827,EU27,Ni,concentrate,0.0
1827,EU27,Ni,refined_metal,0.0
1827,EU27,Ni,scrap,0.0
1827,EU27,Sn,concentrate,0.0
1827,EU27,Sn,refined_metal,0.0
1827,EU27,Sn,scrap,0.0
1827,CHN,Zn,concentrate,0.0
1827,CHN,Zn,refined_metal,0.0
1827,CHN,Zn,scrap,0.0
1827,CHN,Ni,concentrate,0.0
1827,CHN,Ni,refined_metal,0.0
1827,CHN,Ni,scrap,0.0
1827,CHN,Sn,concentrate,0.0
1827,CHN,Sn,refined_metal,0.0
1827,CHN,Sn,scrap,0.0
1827,ROW,Zn,concentrate,0.0
1827,ROW,Zn,refined_metal,0.0
1827,ROW,Zn,scrap,0.0
1827,ROW,Ni,concentrate,0.0
1827,ROW,Ni,refined_metal,0.0
1827,ROW,Ni,scrap,0.0
1827,ROW,Sn,concentrate,0.0
1827,ROW,Sn,refined_metal,0.0
1827,ROW,Sn,scrap,0.0
1828,EU27,Zn,concentrate,0.0
1828,EU27,Zn,refined_metal,0.0
1828,EU27,Zn,scrap,0.0
1828,EU27,Ni,concentrate,0.0
1828,EU27,Ni,refined_metal,0.0
1828,EU27,Ni,scrap,0.0
1828,EU27,Sn,concentrate,0.0
1828,EU27,Sn,refined_metal,0.0
1828,EU27,Sn,scrap,0.0
1828,CHN,Zn,concentrate,0.0
1828,CHN,Zn,refined_metal,0.0
1828,CHN,Zn,scrap,0.0
1828,CHN,Ni,concentrate,0.0
1828,CHN,Ni,refined_metal,0.0
1828,CHN,Ni,scrap,0.0
1828,CHN,Sn,concentrate,0.0
1828,CHN,Sn,refined_metal,0.0
1828,CHN,Sn,scrap,0.0
1828,ROW,Zn,concentrate,0.0
1828,ROW,Zn,refined_metal,0.0
1828,ROW,Zn,scrap,0.0
1828,ROW,Ni,concentrate,0.0
1828,ROW,Ni,refined_metal,0.0
1828,ROW,Ni,scrap,0.0
1828,ROW,Sn,concentrate,0.0
1828,ROW,Sn,refined_metal,0.0
1828,ROW,Sn,scrap,0.0
1829,EU27,Zn,concentrate,0.0
1829,EU27,Zn,refined_metal,0.0
1829,EU27,Zn,scrap,0.0
1829,EU27,Ni,concentrate,0.0
1829,EU27,Ni,refined_metal,0.0
1829,EU27,Ni,scrap,0.0
1829,EU27,Sn,concentrate,0.0
1829,EU27,Sn,refined_metal,0.0
1829,EU27,Sn,scrap,0.0
1829,CHN,Zn,concentrate,0.0
1829,CHN,Zn,refined_metal,0.0
1829,CHN,Zn,scrap,0.0
1829,CHN,Ni,concentrate,0.0
1829,CHN,Ni,refined_metal,0.0
1829,CHN,Ni,scrap,0.0
1829,CHN,Sn,concentrate,0.0
1829,CHN,Sn,refined_metal,0.0
1829,CHN,Sn,scrap,0.0
1829,ROW,Zn,concentrate,0.0
1829,ROW,Zn,refined_metal,0.0
1829,ROW,Zn,scrap,0.0
1829,ROW,Ni,concentrate,0.0
1829,ROW,Ni,refined_metal,0.0
1829,ROW,Ni,scrap,0.0
1829,ROW,Sn,concentrate,0.0
1829,ROW,Sn,refined_metal,0.0
1829,ROW,Sn,scrap,0.0
1830,EU27,Zn,concentrate,0.0
1830,EU27,Zn,refined_metal,0.0
1830,EU27,Zn,scrap,0.0
1830,EU27,Ni,concentrate,0.0
1830,EU27,Ni,refined_metal,0.0
1830,EU27,Ni,scrap,0.0
1830,EU27,Sn,concentrate,0.0
1830,EU27,Sn,refined_metal,0.0
1830,EU27,Sn,scrap,0.0
1830,CHN,Zn,concentrate,0.0
1830,CHN,Zn,refined_metal,0.0
1830,CHN,Zn,scrap,0.0
1830,CHN,Ni,concentrate,0.0
1830,CHN,Ni,refined_metal,0.0
1830,CHN,Ni,scrap,0.0
1830,CHN,Sn,concentrate,0.0
1830,CHN,Sn,refined_metal,0.0
1830,CHN,Sn,scrap,0.0
1830,ROW,Zn,concentrate,0.0
1830,ROW,Zn,refined_metal,0.0
1830,ROW,Zn,scrap,0.0
1830,ROW,Ni,concentrate,0.0
1830,ROW,Ni,refined_metal,0.0
1830,ROW,Ni,scrap,0.0
1830,ROW,Sn,concentrate,0.0
1830,ROW,Sn,refined_metal,0.0
1830,ROW,Sn,scrap,0.0
1831,EU27,Zn,concentrate,0.0
1831,EU27,Zn,refined_metal,0.0
1831,EU27,Zn,scrap,0.0
1831,EU27,Ni,concentrate,0.0
1831,EU27,Ni,refined_metal,0.0
1831,EU27,Ni,scrap,0.0
1831,EU27,Sn,concentrate,0.0
1831,EU27,Sn,refined_metal,0.0
1831,EU27,Sn,scrap,0.0
1831,CHN,Zn,concentrate,0.0
1831,CHN,Zn,refined_metal,0.0
1831,CHN,Zn,scrap,0.0
1831,CHN,Ni,concentrate,0.0
1831,CHN,Ni,refined_metal,0.0
1831,CHN,Ni,scrap,0.0
1831,CHN,Sn,concentrate,0.0
1831,CHN,Sn,refined_metal,0.0
1831,CHN,Sn,scrap,0.0
1831,ROW,Zn,concentrate,0.0
1831,ROW,Zn,refined_metal,0.0
1831,ROW,Zn,scrap,0.0
1831,ROW,Ni,concentrate,0.0
1831,ROW,Ni,refined_metal,0.0
1831,ROW,Ni,scrap,0.0
1831,ROW,Sn,concentrate,0.0
1831,ROW,Sn,refined_metal,0.0
1831,ROW,Sn,scrap,0.0
1832,EU27,Zn,concentrate,0.0
1832,EU27,Zn,refined_metal,0.0
1832,EU27,Zn,scrap,0.0
1832,EU27,Ni,concentrate,0.0
1832,EU27,Ni,refined_metal,0.0
1832,EU27,Ni,scrap,0.0
1832,EU27,Sn,concentrate,0.0
1832,EU27,Sn,refined_metal,0.0
1832,EU27,Sn,scrap,0.0
1832,CHN,Zn,concentrate,0.0
1832,CHN,Zn,refined_metal,0.0
