r,m,c,t,value
CHN,Ni,concentrate,1892,0.0
CHN,Ni,refined_metal,1892,0.0
CHN,Ni,scrap,1892,0.0
CHN,Sn,concentrate,1892,0.0
CHN,Sn,refined_metal,1892,0.0
CHN,Sn,scrap,1892,0.0
ROW,Zn,concentrate,1892,0.0
ROW,Zn,refined_metal,1892,0.0
ROW,Zn,scrap,1892,0.0
ROW,Ni,concentrate,1892,0.0
ROW,Ni,refined_metal,1892,0.0
ROW,Ni,scrap,1892,0.0
ROW,Sn,concentrate,1892,0.0
ROW,Sn,refined_metal,1892,0.0
ROW,Sn,scrap,1892,0.0
EU27,Zn,concentrate,1893,0.0
EU27,Zn,refined_metal,1893,0.0
EU27,Zn,scrap,1893,0.0
EU27,Ni,concentrate,1893,0.0
EU27,Ni,refined_metal,1893,0.0
EU27,Ni,scrap,1893,0.0
EU27,Sn,concentrate,1893,0.0
EU27,Sn,refined_metal,1893,0.0
EU27,Sn,scrap,1893,0.0
CHN,Zn,concentrate,1893,0.0
CHN,Zn,refined_metal,1893,0.0
CHN,Zn,scrap,1893,0.0
CHN,Ni,concentrate,1893,0.0
CHN,Ni,refined_metal,1893,0.0
CHN,Ni,scrap,1893,0.0
CHN,Sn,concentrate,1893,0.0
CHN,Sn,refined_metal,1893,0.0
CHN,Sn,scrap,1893,0.0
ROW,Zn,concentrate,1893,0.0
ROW,Zn,refined_metal,1893,0.0
ROW,Zn,scrap,1893,0.0
ROW,Ni,concentrate,1893,0.0
ROW,Ni,refined_metal,1893,0.0
ROW,Ni,scrap,1893,0.0
ROW,Sn,concentrate,1893,0.0
ROW,Sn,refined_metal,1893,0.0
ROW,Sn,scrap,1893,0.0
EU27,Zn,concentrate,1894,0.0
EU27,Zn,refined_metal,1894,0.0
EU27,Zn,scrap,1894,0.0
EU27,Ni,concentrate,1894,0.0
EU27,Ni,refined_metal,1894,0.0
EU27,Ni,scrap,1894,0.0
EU27,Sn,concentrate,1894,0.0
EU27,Sn,refined_metal,1894,0.0
EU27,Sn,scrap,1894,0.0
CHN,Zn,concentrate,1894,0.0
CHN,Zn,refined_metal,1894,0.0
CHN,Zn,scrap,1894,0.0
CHN,Ni,concentrate,1894,0.0
CHN,Ni,refined_metal,1894,0.0
CHN,Ni,scrap,1894,0.0
CHN,Sn,concentrate,1894,0.0
CHN,Sn,refined_metal,1894,0.0
CHN,Sn,scrap,1894,0.0
ROW,Zn,concentrate,1894,0.0
ROW,Zn,refined_metal,1894,0.0
ROW,Zn,scrap,1894,0.0
ROW,Ni,concentrate,1894,0.0
ROW,Ni,refined_metal,1894,0.0
ROW,Ni,scrap,1894,0.0
ROW,Sn,concentrate,1894,0.0
ROW,Sn,refined_metal,1894,0.0
ROW,Sn,scrap,1894,0.0
EU27,Zn,concentrate,1895,0.0
EU27,Zn,refined_metal,1895,0.0
EU27,Zn,scrap,1895,0.0
EU27,Ni,concentrate,1895,0.0
EU27,Ni,refined_metal,1895,0.0
EU27,Ni,scrap,1895,0.0
EU27,Sn,concentrate,1895,0.0
EU27,Sn,refined_metal,1895,0.0
EU27,Sn,scrap,1895,0.0
CHN,Zn,concentrate,1895,0.0
CHN,Zn,refined_metal,1895,0.0
CHN,Zn,scrap,1895,0.0
CHN,Ni,concentrate,1895,0.0
CHN,Ni,refined_metal,1895,0.0
CHN,Ni,scrap,1895,0.0
CHN,Sn,concentrate,1895,0.0
CHN,Sn,refined_metal,1895,0.0
CHN,Sn,scrap,1895,0.0
ROW,Zn,concentrate,1895,0.0
ROW,Zn,refined_metal,1895,0.0
ROW,Zn,scrap,1895,0.0
ROW,Ni,concentrate,1895,0.0
ROW,Ni,refined_metal,1895,0.0
ROW,Ni,scrap,1895,0.0
ROW,Sn,concentrate,1895,0.0
ROW,Sn,refined_metal,1895,0.0
ROW,Sn,scrap,1895,0.0
EU27,Zn,concentrate,1896,0.0
EU27,Zn,refined_metal,1896,0.0
EU27,Zn,scrap,1896,0.0
EU27,Ni,concentrate,1896,0.0
EU27,Ni,refined_metal,1896,0.0
EU27,Ni,scrap,1896,0.0
EU27,Sn,concentrate,1896,0.0
EU27,Sn,refined_metal,1896,0.0
EU27,Sn,scrap,1896,0.0
CHN,Zn,concentrate,1896,0.0
CHN,Zn,refined_metal,1896,0.0
CHN,Zn,scrap,1896,0.0
CHN,Ni,concentrate,1896,0.0
CHN,Ni,refined_metal,1896,0.0
CHN,Ni,scrap,1896,0.0
CHN,Sn,concentrate,1896,0.0
CHN,Sn,refined_metal,1896,0.0
CHN,Sn,scrap,1896,0.0
ROW,Zn,concentrate,1896,0.0
ROW,Zn,refined_metal,1896,0.0
ROW,Zn,scrap,1896,0.0
ROW,Ni,concentrate,1896,0.0
ROW,Ni,refined_metal,1896,0.0
ROW,Ni,scrap,1896,0.0
ROW,Sn,concentrate,1896,0.0
ROW,Sn,refined_metal,1896,0.0
ROW,Sn,scrap,1896,0.0
EU27,Zn,concentrate,1897,0.0
EU27,Zn,refined_metal,1897,0.0
EU27,Zn,scrap,1897,0.0
EU27,Ni,concentrate,1897,0.0
EU27,Ni,refined_metal,1897,0.0
EU27,Ni,scrap,1897,0.0
EU27,Sn,concentrate,1897,0.0
EU27,Sn,refined_metal,1897,0.0
EU27,Sn,scrap,1897,0.0
CHN,Zn,concentrate,1897,0.0
CHN,Zn,refined_metal,1897,0.0
CHN,Zn,scrap,1897,0.0
CHN,Ni,concentrate,1897,0.0
CHN,Ni,refined_metal,1897,0.0
CHN,Ni,scrap,1897,0.0
CHN,Sn,concentrate,1897,0.0
CHN,Sn,refined_metal,1897,0.0
CHN,Sn,scrap,1897,0.0
ROW,Zn,concentrate,1897,0.0
ROW,Zn,refined_metal,1897,0.0
ROW,Zn,scrap,1897,0.0
ROW,Ni,concentrate,1897,0.0
ROW,Ni,refined_metal,1897,0.0
ROW,Ni,scrap,1897,0.0
ROW,Sn,concentrate,1897,0.0
ROW,Sn,refined_metal,1897,0.0
ROW,Sn,scrap,1897,0.0
EU27,Zn,concentrate,1898,0.0
EU27,Zn,refined_metal,1898,0.0
EU27,Zn,scrap,1898,0.0
EU27,Ni,concentrate,1898,0.0
EU27,Ni,refined_metal,1898,0.0
EU27,Ni,scrap,1898,0.0
EU27,Sn,concentrate,1898,0.0
EU27,Sn,refined_metal,1898,0.0
EU27,Sn,scrap,1898,0.0
CHN,Zn,concentrate,1898,0.0
CHN,Zn,refined_metal,1898,0.0
CHN,Zn,scrap,1898,0.0
CHN,Ni,concentrate,1898,0.0
CHN,Ni,refined_metal,1898,0.0
CHN,Ni,scrap,1898,0.0
CHN,Sn,concentrate,1898,0.0
CHN,Sn,refined_metal,1898,0.0
CHN,Sn,scrap,1898,0.0
ROW,Zn,concentrate,1898,0.0
ROW,Zn,refined_metal,1898,0.0
ROW,Zn,scrap,1898,0.0
ROW,Ni,concentrate,1898,0.0
ROW,Ni,refined_metal,1898,0.0
ROW,Ni,scrap,1898,0.0
ROW,Sn,concentrate,1898,0.0
ROW,Sn,refined_metal,1898,0.0
ROW,Sn,scrap,1898,0.0
EU27,Zn,concentrate,1899,0.0
EU27,Zn,refined_metal,1899,0.0
EU27,Zn,scrap,1899,0.0
EU27,Ni,concentrate,1899,0.0
EU27,Ni,refined_metal,1899,0.0
EU27,Ni,scrap,1899,0.0
EU27,Sn,concentrate,1899,0.0
EU27,Sn,refined_metal,1899,0.0
EU27,Sn,scrap,1899,0.0
CHN,Zn,concentrate,1899,0.0
CHN,Zn,refined_metal,1899,0.0
CHN,Zn,scrap,1899,0.0
CHN,Ni,concentrate,1899,0.0
CHN,Ni,refined_metal,1899,0.0
CHN,Ni,scrap,1899,0.0
CHN,Sn,concentrate,1899,0.0
CHN,Sn,refined_metal,1899,0.0
CHN,Sn,scrap,1899,0.0
ROW,Zn,concentrate,1899,0.0
ROW,Zn,refined_metal,1899,0.0
ROW,Zn,scrap,1899,0.0
ROW,Ni,concentrate,1899,0.0
ROW,Ni,refined_metal,1899,0.0
ROW,Ni,scrap,1899,0.0
ROW,Sn,concentrate,1899,0.0
ROW,Sn,refined_metal,1899,0.0
ROW,Sn,scrap,1899,0.0
EU27,Zn,concentrate,1900,0.0
EU27,Zn,refined_metal,1900,0.0
EU27,Zn,scrap,1900,0.0
EU27,Ni,concentrate,1900,0.0
EU27,Ni,refined_metal,1900,0.0
EU27,Ni,scrap,1900,0.0
EU27,Sn,concentrate,1900,0.0
EU27,Sn,refined_metal,1900,0.0
EU27,Sn,scrap,1900,0.0
CHN,Zn,concentrate,1900,0.0
CHN,Zn,refined_metal,1900,0.0
CHN,Zn,scrap,1900,0.0
CHN,Ni,concentrate,1900,0.0
CHN,Ni,refined_metal,1900,0.0
CHN,Ni,scrap,1900,0.0
CHN,Sn,concentrate,1900,0.0
CHN,Sn,refined_metal,1900,0.0
CHN,Sn,scrap,1900,0.0
ROW,Zn,concentrate,1900,0.0
ROW,Zn,refined_metal,1900,0.0
ROW,Zn,scrap,1900,0.0
ROW,Ni,concentrate,1900,0.0
ROW,Ni,refined_metal,1900,0.0
ROW,Ni,scrap,1900,0.0
ROW,Sn,concentrate,1900,0.0
ROW,Sn,refined_metal,1900,0.0
ROW,Sn,scrap,1900,0.0
EU27,Zn,concentrate,1901,0.0
EU27,Zn,refined_metal,1901,0.0
EU27,Zn,scrap,1901,0.0
EU27,Ni,concentrate,1901,0.0
EU27,Ni,refined_metal,1901,0.0
EU27,Ni,scrap,1901,0.0
EU27,Sn,concentrate,1901,0.0
EU27,Sn,refined_metal,1901,0.0
EU27,Sn,scrap,1901,0.0
CHN,Zn,concentrate,1901,0.0
CHN,Zn,refined_metal,1901,0.0
CHN,Zn,scrap,1901,0.0
CHN,Ni,concentrate,1901,0.0
CHN,Ni,refined_metal,1901,0.0
CHN,Ni,scrap,1901,0.0
CHN,Sn,concentrate,1901,0.0
CHN,Sn,refined_metal,1901,0.0
CHN,Sn,scrap,1901,0.0
ROW,Zn,concentrate,1901,0.0
ROW,Zn,refined_metal,1901,0.0
ROW,Zn,scrap,1901,0.0
ROW,Ni,concentrate,1901,0.0
ROW,Ni,refined_metal,1901,0.0
ROW,Ni,scrap,1901,0.0
ROW,Sn,concentrate,1901,0.0
ROW,Sn,refined_metal,1901,0.0
ROW,Sn,scrap,1901,0.0
EU27,Zn,concentrate,1902,0.0
EU27,Zn,refined_metal,1902,0.0
EU27,Zn,scrap,1902,0.0
EU27,Ni,concentrate,1902,0.0
EU27,Ni,refined_metal,1902,0.0
EU27,Ni,scrap,1902,0.0
EU27,Sn,concentrate,1902,0.0
EU27,Sn,refined_metal,1902,0.0
EU27,Sn,scrap,1902,0.0
CHN,Zn,concentrate,1902,0.0
CHN,Zn,refined_metal,1902,0.0
CHN,Zn,scrap,1902,0.0
CHN,Ni,concentrate,1902,0.0
CHN,Ni,refined_metal,1902,0.0
CHN,Ni,scrap,1902,0.0
CHN,Sn,concentrate,1902,0.0
CHN,Sn,refined_metal,1902,0.0
CHN,Sn,scrap,1902,0.0
ROW,Zn,concentrate,1902,0.0
ROW,Zn,refined_metal,1902,0.0
ROW,Zn,scrap,1902,0.0
ROW,Ni,concentrate,1902,0.0
ROW,Ni,refined_metal,1902,0.0
ROW,Ni,scrap,1902,0.0
ROW,Sn,concentrate,1902,0.0
ROW,Sn,refined_metal,1902,0.0
ROW,Sn,scrap,1902,0.0
EU27,Zn,concentrate,1903,0.0
EU27,Zn,refined_metal,1903,0.0
EU27,Zn,scrap,1903,0.0
EU27,Ni,concentrate,1903,0.0
EU27,Ni,refined_metal,1903,0.0
EU27,Ni,scrap,1903,0.0
EU27,Sn,concentrate,1903,0.0
EU27,Sn,refined_metal,1903,0.0
EU27,Sn,scrap,1903,0.0
CHN,Zn,concentrate,1903,0.0
CHN,Zn,refined_metal,1903,0.0
CHN,Zn,scrap,1903,0.0
CHN,Ni,concentrate,1903,0.0
CHN,Ni,refined_metal,1903,0.0
CHN,Ni,scrap,1903,0.0
CHN,Sn,concentrate,1903,0.0
CHN,Sn,refined_metal,1903,0.0
CHN,Sn,scrap,1903,0.0
ROW,Zn,concentrate,1903,0.0
ROW,Zn,refined_metal,1903,0.0
ROW,Zn,scrap,1903,0.0
ROW,Ni,concentrate,1903,0.0
ROW,Ni,refined_metal,1903,0.0
ROW,Ni,scrap,1903,0.0
ROW,Sn,concentrate,1903,0.0
ROW,Sn,refined_metal,1903,0.0
ROW,Sn,scrap,1903,0.0
EU27,Zn,concentrate,1904,0.0
EU27,Zn,refined_metal,1904,0.0
EU27,Zn,scrap,1904,0.0
EU27,Ni,concentrate,1904,0.0
EU27,Ni,refined_metal,1904,0.0
EU27,Ni,scrap,1904,0.0
EU27,Sn,concentrate,1904,0.0
EU27,Sn,refined_metal,1904,0.0
EU27,Sn,scrap,1904,0.0
CHN,Zn,concentrate,1904,0.0
CHN,Zn,refined_metal,1904,0.0
CHN,Zn,scrap,1904,0.0
CHN,Ni,concentrate,1904,0.0
CHN,Ni,refined_metal,1904,0.0
CHN,Ni,scrap,1904,0.0
CHN,Sn,concentrate,1904,0.0
CHN,Sn,refined_metal,1904,0.0
CHN,Sn,scrap,1904,0.0
ROW,Zn,concentrate,1904,0.0
ROW,Zn,refined_metal,1904,0.0
ROW,Zn,scrap,1904,0.0
ROW,Ni,concentrate,1904,0.0
ROW,Ni,refined_metal,1904,0.0
ROW,Ni,scrap,1904,0.0
ROW,Sn,concentrate,1904,0.0
ROW,Sn,refined_metal,1904,0.0
ROW,Sn,scrap,1904,0.0
EU27,Zn,concentrate,1905,0.0
EU27,Zn,refined_metal,1905,0.0
EU27,Zn,scrap,1905,0.0
EU27,Ni,concentrate,1905,0.0
EU27,Ni,refined_metal,1905,0.0
EU27,Ni,scrap,1905,0.0
EU27,Sn,concentrate,1905,0.0
EU27,Sn,refined_metal,1905,0.0
EU27,Sn,scrap,1905,0.0
CHN,Zn,concentrate,1905,0.0
CHN,Zn,refined_metal,1905,0.0
CHN,Zn,scrap,1905,0.0
CHN,Ni,concentrate,1905,0.0
CHN,Ni,refined_metal,1905,0.0
CHN,Ni,scrap,1905,0.0
CHN,Sn,concentrate,1905,0.0
CHN,Sn,refined_metal,1905,0.0
CHN,Sn,scrap,1905,0.0
ROW,Zn,concentrate,1905,0.0
ROW,Zn,refined_metal,1905,0.0
ROW,Zn,scrap,1905,0.0
ROW,Ni,concentrate,1905,0.0
ROW,Ni,refined_metal,1905,0.0
ROW,Ni,scrap,1905,0.0
ROW,Sn,concentrate,1905,0.0
ROW,Sn,refined_metal,1905,0.0
ROW,Sn,scrap,1905,0.0
EU27,Zn,concentrate,1906,0.0
EU27,Zn,refined_metal,1906,0.0
EU27,Zn,scrap,1906,0.0
EU27,Ni,concentrate,1906,0.0
EU27,Ni,refined_metal,1906,0.0
EU27,Ni,scrap,1906,0.0
EU27,Sn,concentrate,1906,0.0
EU27,Sn,refined_metal,1906,0.0
EU27,Sn,scrap,1906,0.0
CHN,Zn,concentrate,1906,0.0
CHN,Zn,refined_metal,1906,0.0
CHN,Zn,scrap,1906,0.0
CHN,Ni,concentrate,1906,0.0
CHN,Ni,refined_metal,1906,0.0
CHN,Ni,scrap,1906,0.0
CHN,Sn,concentrate,1906,0.0
CHN,Sn,refined_metal,1906,0.0
CHN,Sn,scrap,1906,0.0
ROW,Zn,concentrate,1906,0.0
ROW,Zn,refined_metal,1906,0.0
ROW,Zn,scrap,1906,0.0
ROW,Ni,concentrate,1906,0.0
ROW,Ni,refined_metal,1906,0.0
ROW,Ni,scrap,1906,0.0
ROW,Sn,concentrate,1906,0.0
ROW,Sn,refined_metal,1906,0.0
ROW,Sn,scrap,1906,0.0
EU27,Zn,concentrate,1907,0.0
EU27,Zn,refined_metal,1907,0.0
EU27,Zn,scrap,1907,0.0
EU27,Ni,concentrate,1907,0.0
EU27,Ni,refined_metal,1907,0.0
EU27,Ni,scrap,1907,0.0
EU27,Sn,concentrate,1907,0.0
EU27,Sn,refined_metal,1907,0.0
EU27,Sn,scrap,1907,0.0
CHN,Zn,concentrate,1907,0.0
CHN,Zn,refined_metal,1907,0.0
CHN,Zn,scrap,1907,0.0
CHN,Ni,concentrate,1907,0.0
CHN,Ni,refined_metal,1907,0.0
CHN,Ni,scrap,1907,0.0
CHN,Sn,concentrate,1907,0.0
CHN,Sn,refined_metal,1907,0.0
CHN,Sn,scrap,1907,0.0
ROW,Zn,concentrate,1907,0.0
ROW,Zn,refined_metal,1907,0.0
ROW,Zn,scrap,1907,0.0
ROW,Ni,concentrate,1907,0.0
ROW,Ni,refined_metal,1907,0.0
ROW,Ni,scrap,1907,0.0
ROW,Sn,concentrate,1907,0.0
ROW,Sn,refined_metal,1907,0.0
ROW,Sn,scrap,1907,0.0
EU27,Zn,concentrate,1908,0.0
EU27,Zn,refined_metal,1908,0.0
EU27,Zn,scrap,1908,0.0
EU27,Ni,concentrate,1908,0.0
EU27,Ni,refined_metal,1908,0.0
EU27,Ni,scrap,1908,0.0
EU27,Sn,concentrate,1908,0.0
EU27,Sn,refined_metal,1908,0.0
EU27,Sn,scrap,1908,0.0
CHN,Zn,concentrate,1908,0.0
CHN,Zn,refined_metal,1908,0.0
CHN,Zn,scrap,1908,0.0
CHN,Ni,concentrate,1908,0.0
CHN,Ni,refined_metal,1908,0.0
CHN,Ni,scrap,1908,0.0
CHN,Sn,concentrate,1908,0.0
CHN,Sn,refined_metal,1908,0.0
CHN,Sn,scrap,1908,0.0
ROW,Zn,concentrate,1908,0.0
ROW,Zn,refined_metal,1908,0.0
ROW,Zn,scrap,1908,0.0
ROW,Ni,concentrate,1908,0.0
ROW,Ni,refined_metal,1908,0.0
ROW,Ni,scrap,1908,0.0
ROW,Sn,concentrate,1908,0.0
ROW,Sn,refined_metal,1908,0.0
ROW,Sn,scrap,1908,0.0
EU27,Zn,concentrate,1909,0.0
EU27,Zn,refined_metal,1909,0.0
EU27,Zn,scrap,1909,0.0
EU27,Ni,concentrate,1909,0.0
EU27,Ni,refined_metal,1909,0.0
EU27,Ni,scrap,1909,0.0
EU27,Sn,concentrate,1909,0.0
EU27,Sn,refined_metal,1909,0.0
EU27,Sn,scrap,1909,0.0
CHN,Zn,concentrate,1909,0.0
CHN,Zn,refined_metal,1909,0.0
CHN,Zn,scrap,1909,0.0
CHN,Ni,concentrate,1909,0.0
CHN,Ni,refined_metal,1909,0.0
CHN,Ni,scrap,1909,0.0
CHN,Sn,concentrate,1909,0.0
CHN,Sn,refined_metal,1909,0.0
CHN,Sn,scrap,1909,0.0
ROW,Zn,concentrate,1909,0.0
ROW,Zn,refined_metal,1909,0.0
ROW,Zn,scrap,1909,0.0
ROW,Ni,concentrate,1909,0.0
ROW,Ni,refined_metal,1909,0.0
ROW,Ni,scrap,1909,0.0
ROW,Sn,concentrate,1909,0.0
ROW,Sn,refined_metal,1909,0.0
ROW,Sn,scrap,1909,0.0
EU27,Zn,concentrate,1910,0.0
EU27,Zn,refined_metal,1910,0.0
EU27,Zn,scrap,1910,0.0
EU27,Ni,concentrate,1910,0.0
EU27,Ni,refined_metal,1910,0.0
EU27,Ni,scrap,1910,0.0
EU27,Sn,concentrate,1910,0.0
EU27,Sn,refined_metal,1910,0.0
EU27,Sn,scrap,1910,0.0
CHN,Zn,concentrate,1910,0.0
CHN,Zn,refined_metal,1910,0.0
CHN,Zn,scrap,1910,0.0
CHN,Ni,concentrate,1910,0.0
CHN,Ni,refined_metal,1910,0.0
CHN,Ni,scrap,1910,0.0
CHN,Sn,concentrate,1910,0.0
CHN,Sn,refined_metal,1910,0.0
CHN,Sn,scrap,1910,0.0
ROW,Zn,concentrate,1910,0.0
ROW,Zn,refined_metal,1910,0.0
ROW,Zn,scrap,1910,0.0
ROW,Ni,concentrate,1910,0.0
ROW,Ni,refined_metal,1910,0.0
ROW,Ni,scrap,1910,0.0
ROW,Sn,concentrate,1910,0.0
ROW,Sn,refined_metal,1910,0.0
ROW,Sn,scrap,1910,0.0
EU27,Zn,concentrate,1911,0.0
EU27,Zn,refined_metal,1911,0.0
EU27,Zn,scrap,1911,0.0
EU27,Ni,concentrate,1911,0.0
EU27,Ni,refined_metal,1911,0.0
EU27,Ni,scrap,1911,0.0
EU27,Sn,concentrate,1911,0.0
EU27,Sn,refined_metal,1911,0.0
EU27,Sn,scrap,1911,0.0
CHN,Zn,concentrate,1911,0.0
CHN,Zn,refined_metal,1911,0.0
CHN,Zn,scrap,1911,0.0
CHN,Ni,concentrate,1911,0.0
CHN,Ni,refined_metal,1911,0.0
CHN,Ni,scrap,1911,0.0
CHN,Sn,concentrate,1911,0.0
CHN,Sn,refined_metal,1911,0.0
CHN,Sn,scrap,1911,0.0
ROW,Zn,concentrate,1911,0.0
ROW,Zn,refined_metal,1911,0.0
ROW,Zn,scrap,1911,0.0
ROW,Ni,concentrate,1911,0.0
ROW,Ni,refined_metal,1911,0.0
ROW,Ni,scrap,1911,0.0
ROW,Sn,concentrate,1911,0.0
ROW,Sn,refined_metal,1911,0.0
ROW,Sn,scrap,1911,0.0
EU27,Zn,concentrate,1912,0.0
EU27,Zn,refined_metal,1912,0.0
EU27,Zn,scrap,1912,0.0
EU27,Ni,concentrate,1912,0.0
EU27,Ni,refined_metal,1912,0.0
EU27,Ni,scrap,1912,0.0
EU27,Sn,concentrate,1912,0.0
EU27,Sn,refined_metal,1912,0.0
EU27,Sn,scrap,1912,0.0
CHN,Zn,concentrate,1912,0.0
CHN,Zn,refined_metal,1912,0.0
CHN,Zn,scrap,1912,0.0
CHN,Ni,concentrate,1912,0.0
CHN,Ni,refined_metal,1912,0.0
CHN,Ni,scrap,1912,0.0
CHN,Sn,concentrate,1912,0.0
CHN,Sn,refined_metal,1912,0.0
CHN,Sn,scrap,1912,0.0
ROW,Zn,concentrate,1912,0.0
ROW,Zn,refined_metal,1912,0.0
ROW,Zn,scrap,1912,0.0
ROW,Ni,concentrate,1912,0.0
ROW,Ni,refined_metal,1912,0.0
ROW,Ni,scrap,1912,0.0
ROW,Sn,concentrate,1912,0.0
ROW,Sn,refined_metal,1912,0.0
ROW,Sn,scrap,1912,0.0
EU27,Zn,concentrate,1913,0.0
EU27,Zn,refined_metal,1913,0.0
EU27,Zn,scrap,1913,0.0
EU27,Ni,concentrate,1913,0.0
EU27,Ni,refined_metal,1913,0.0
EU27,Ni,scrap,1913,0.0
EU27,Sn,concentrate,1913,0.0
EU27,Sn,refined_metal,1913,0.0
EU27,Sn,scrap,1913,0.0
CHN,Zn,concentrate,1913,0.0
CHN,Zn,refined_metal,1913,0.0
CHN,Zn,scrap,1913,0.0
CHN,Ni,concentrate,1913,0.0
CHN,Ni,refined_metal,1913,0.0
CHN,Ni,scrap,1913,0.0
CHN,Sn,concentrate,1913,0.0
CHN,Sn,refined_metal,1913,0.0
CHN,Sn,scrap,1913,0.0
ROW,Zn,concentrate,1913,0.0
ROW,Zn,refined_metal,1913,0.0
ROW,Zn,scrap,1913,0.0
ROW,Ni,concentrate,1913,0.0
ROW,Ni,refined_metal,1913,0.0
ROW,Ni,scrap,1913,0.0
ROW,Sn,concentrate,1913,0.0
ROW,Sn,refined_metal,1913,0.0
ROW,Sn,scrap,1913,0.0
EU27,Zn,concentrate,1914,0.0
EU27,Zn,refined_metal,1914,0.0
EU27,Zn,scrap,1914,0.0
EU27,Ni,concentrate,1914,0.0
EU27,Ni,refined_metal,1914,0.0
EU27,Ni,scrap,1914,0.0
EU27,Sn,concentrate,1914,0.0
EU27,Sn,refined_metal,1914,0.0
EU27,Sn,scrap,1914,0.0
CHN,Zn,concentrate,1914,0.0
CHN,Zn,refined_metal,1914,0.0
CHN,Zn,scrap,1914,0.0
CHN,Ni,concentrate,1914,0.0
CHN,Ni,refined_metal,1914,0.0
CHN,Ni,scrap,1914,0.0
CHN,Sn,concentrate,1914,0.0
CHN,Sn,refined_metal,1914,0.0
CHN,Sn,scrap,1914,0.0
ROW,Zn,concentrate,1914,0.0
ROW,Zn,refined_metal,1914,0.0
ROW,Zn,scrap,1914,0.0
ROW,Ni,concentrate,1914,0.0
ROW,Ni,refined_metal,1914,0.0
ROW,Ni,scrap,1914,0.0
ROW,Sn,concentrate,1914,0.0
ROW,Sn,refined_metal,1914,0.0
ROW,Sn,scrap,1914,0.0
EU27,Zn,concentrate,1915,0.0
EU27,Zn,refined_metal,1915,0.0
EU27,Zn,scrap,1915,0.0
EU27,Ni,concentrate,1915,0.0
EU27,Ni,refined_metal,1915,0.0
EU27,Ni,scrap,1915,0.0
EU27,Sn,concentrate,1915,0.0
EU27,Sn,refined_metal,1915,0.0
EU27,Sn,scrap,1915,0.0
CHN,Zn,concentrate,1915,0.0
CHN,Zn,refined_metal,1915,0.0
CHN,Zn,scrap,1915,0.0
CHN,Ni,concentrate,1915,0.0
CHN,Ni,refined_metal,1915,0.0
CHN,Ni,scrap,1915,0.0
CHN,Sn,concentrate,1915,0.0
CHN,Sn,refined_metal,1915,0.0
CHN,Sn,scrap,1915,0.0
ROW,Zn,concentrate,1915,0.0
ROW,Zn,refined_metal,1915,0.0
ROW,Zn,scrap,1915,0.0
ROW,Ni,concentrate,1915,0.0
ROW,Ni,refined_metal,1915,0.0
ROW,Ni,scrap,1915,0.0
ROW,Sn,concentrate,1915,0.0
ROW,Sn,refined_metal,1915,0.0
ROW,Sn,scrap,1915,0.0
EU27,Zn,concentrate,1916,0.0
EU27,Zn,refined_metal,1916,0.0
EU27,Zn,scrap,1916,0.0
EU27,Ni,concentrate,1916,0.0
EU27,Ni,refined_metal,1916,0.0
EU27,Ni,scrap,1916,0.0
EU27,Sn,concentrate,1916,0.0
EU27,Sn,refined_metal,1916,0.0
EU27,Sn,scrap,1916,0.0
CHN,Zn,concentrate,1916,0.0
CHN,Zn,refined_metal,1916,0.0
CHN,Zn,scrap,1916,0.0
CHN,Ni,concentrate,1916,0.0
CHN,Ni,refined_metal,1916,0.0
CHN,Ni,scrap,1916,0.0
CHN,Sn,concentrate,1916,0.0
CHN,Sn,refined_metal,1916,0.0
CHN,Sn,scrap,1916,0.0
ROW,Zn,concentrate,1916,0.0
ROW,Zn,refined_metal,1916,0.0
ROW,Zn,scrap,1916,0.0
ROW,Ni,concentrate,1916,0.0
ROW,Ni,refined_metal,1916,0.0
ROW,Ni,scrap,1916,0.0
ROW,Sn,concentrate,1916,0.0
ROW,Sn,refined_metal,1916,0.0
ROW,Sn,scrap,1916,0.0
EU27,Zn,concentrate,1917,0.0
EU27,Zn,refined_metal,1917,0.0
EU27,Zn,scrap,1917,0.0
EU27,Ni,concentrate,1917,0.0
EU27,Ni,refined_metal,1917,0.0
EU27,Ni,scrap,1917,0.0
EU27,Sn,concentrate,1917,0.0
EU27,Sn,refined_metal,1917,0.0
EU27,Sn,scrap,1917,0.0
CHN,Zn,concentrate,1917,0.0
CHN,Zn,refined_metal,1917,0.0
CHN,Zn,scrap,1917,0.0
CHN,Ni,concentrate,1917,0.0
CHN,Ni,refined_metal,1917,0.0
CHN,Ni,scrap,1917,0.0
CHN,Sn,concentrate,1917,0.0
CHN,Sn,refined_metal,1917,0.0
CHN,Sn,scrap,1917,0.0
ROW,Zn,concentrate,1917,0.0
ROW,Zn,refined_metal,1917,0.0
ROW,Zn,scrap,1917,0.0
ROW,Ni,concentrate,1917,0.0
ROW,Ni,refined_metal,1917,0.0
ROW,Ni,scrap,1917,0.0
ROW,Sn,concentrate,1917,0.0
ROW,Sn,refined_metal,1917,0.0
ROW,Sn,scrap,1917,0.0
EU27,Zn,concentrate,1918,0.0
EU27,Zn,refined_metal,1918,0.0
EU27,Zn,scrap,1918,0.0
EU27,Ni,concentrate,1918,0.0
EU27,Ni,refined_metal,1918,0.0
EU27,Ni,scrap,1918,0.0
EU27,Sn,concentrate,1918,0.0
EU27,Sn,refined_metal,1918,0.0
EU27,Sn,scrap,1918,0.0
