r,m,c,t,value
ROW,Sn,concentrate,1825,0.0
ROW,Sn,refined_metal,1825,0.0
ROW,Sn,scrap,1825,0.0
EU27,Zn,concentrate,1826,0.0
EU27,Zn,refined_metal,1826,0.0
EU27,Zn,scrap,1826,0.0
EU27,Ni,concentrate,1826,0.0
EU27,Ni,refined_metal,1826,0.0
EU27,Ni,scrap,1826,0.0
EU27,Sn,concentrate,1826,0.0
EU27,Sn,refined_metal,1826,0.0
EU27,Sn,scrap,1826,0.0
CHN,Zn,concentrate,1826,0.0
CHN,Zn,refined_metal,1826,0.0
CHN,Zn,scrap,1826,0.0
CHN,Ni,concentrate,1826,0.0
CHN,Ni,refined_metal,1826,0.0
CHN,Ni,scrap,1826,0.0
CHN,Sn,concentrate,1826,0.0
CHN,Sn,refined_metal,1826,0.0
CHN,Sn,scrap,1826,0.0
ROW,Zn,concentrate,1826,0.0
ROW,Zn,refined_metal,1826,0.0
ROW,Zn,scrap,1826,0.0
ROW,Ni,concentrate,1826,0.0
ROW,Ni,refined_metal,1826,0.0
ROW,Ni,scrap,1826,0.0
ROW,Sn,concentrate,1826,0.0
ROW,Sn,refined_metal,1826,0.0
ROW,Sn,scrap,1826,0.0
EU27,Zn,concentrate,1827,0.0
EU27,Zn,refined_metal,1827,0.0
EU27,Zn,scrap,1827,0.0
EU27,Ni,concentrate,1827,0.0
EU27,Ni,refined_metal,1827,0.0
EU27,Ni,scrap,1827,0.0
EU27,Sn,concentrate,1827,0.0
EU27,Sn,refined_metal,1827,0.0
EU27,Sn,scrap,1827,0.0
CHN,Zn,concentrate,1827,0.0
CHN,Zn,refined_metal,1827,0.0
CHN,Zn,scrap,1827,0.0
CHN,Ni,concentrate,1827,0.0
CHN,Ni,refined_metal,1827,0.0
CHN,Ni,scrap,1827,0.0
CHN,Sn,concentrate,1827,0.0
CHN,Sn,refined_metal,1827,0.0
CHN,Sn,scrap,1827,0.0
ROW,Zn,concentrate,1827,0.0
ROW,Zn,refined_metal,1827,0.0
ROW,Zn,scrap,1827,0.0
ROW,Ni,concentrate,1827,0.0
ROW,Ni,refined_metal,1827,0.0
ROW,Ni,scrap,1827,0.0
ROW,Sn,concentrate,1827,0.0
ROW,Sn,refined_metal,1827,0.0
ROW,Sn,scrap,1827,0.0
EU27,Zn,concentrate,1828,0.0
EU27,Zn,refined_metal,1828,0.0
EU27,Zn,scrap,1828,0.0
EU27,Ni,concentrate,1828,0.0
EU27,Ni,refined_metal,1828,0.0
EU27,Ni,scrap,1828,0.0
EU27,Sn,concentrate,1828,0.0
EU27,Sn,refined_metal,1828,0.0
EU27,Sn,scrap,1828,0.0
CHN,Zn,concentrate,1828,0.0
CHN,Zn,refined_metal,1828,0.0
CHN,Zn,scrap,1828,0.0
CHN,Ni,concentrate,1828,0.0
CHN,Ni,refined_metal,1828,0.0
CHN,Ni,scrap,1828,0.0
CHN,Sn,concentrate,1828,0.0
CHN,Sn,refined_metal,1828,0.0
CHN,Sn,scrap,1828,0.0
ROW,Zn,concentrate,1828,0.0
ROW,Zn,refined_metal,1828,0.0
ROW,Zn,scrap,1828,0.0
ROW,Ni,concentrate,1828,0.0
ROW,Ni,refined_metal,1828,0.0
ROW,Ni,scrap,1828,0.0
ROW,Sn,concentrate,1828,0.0
ROW,Sn,refined_metal,1828,0.0
ROW,Sn,scrap,1828,0.0
EU27,Zn,concentrate,1829,0.0
EU27,Zn,refined_metal,1829,0.0
EU27,Zn,scrap,1829,0.0
EU27,Ni,concentrate,1829,0.0
EU27,Ni,refined_metal,1829,0.0
EU27,Ni,scrap,1829,0.0
EU27,Sn,concentrate,1829,0.0
EU27,Sn,refined_metal,1829,0.0
EU27,Sn,scrap,1829,0.0
CHN,Zn,concentrate,1829,0.0
CHN,Zn,refined_metal,1829,0.0
CHN,Zn,scrap,1829,0.0
CHN,Ni,concentrate,1829,0.0
CHN,Ni,refined_metal,1829,0.0
CHN,Ni,scrap,1829,0.0
CHN,Sn,concentrate,1829,0.0
CHN,Sn,refined_metal,1829,0.0
CHN,Sn,scrap,1829,0.0
ROW,Zn,concentrate,1829,0.0
ROW,Zn,refined_metal,1829,0.0
ROW,Zn,scrap,1829,0.0
ROW,Ni,concentrate,1829,0.0
ROW,Ni,refined_metal,1829,0.0
ROW,Ni,scrap,1829,0.0
ROW,Sn,concentrate,1829,0.0
ROW,Sn,refined_metal,1829,0.0
ROW,Sn,scrap,1829,0.0
EU27,Zn,concentrate,1830,0.0
EU27,Zn,refined_metal,1830,0.0
EU27,Zn,scrap,1830,0.0
EU27,Ni,concentrate,1830,0.0
EU27,Ni,refined_metal,1830,0.0
EU27,Ni,scrap,1830,0.0
EU27,Sn,concentrate,1830,0.0
EU27,Sn,refined_metal,1830,0.0
EU27,Sn,scrap,1830,0.0
CHN,Zn,concentrate,1830,0.0
CHN,Zn,refined_metal,1830,0.0
CHN,Zn,scrap,1830,0.0
CHN,Ni,concentrate,1830,0.0
CHN,Ni,refined_metal,1830,0.0
CHN,Ni,scrap,1830,0.0
CHN,Sn,concentrate,1830,0.0
CHN,Sn,refined_metal,1830,0.0
CHN,Sn,scrap,1830,0.0
ROW,Zn,concentrate,1830,0.0
ROW,Zn,refined_metal,1830,0.0
ROW,Zn,scrap,1830,0.0
ROW,Ni,concentrate,1830,0.0
ROW,Ni,refined_metal,1830,0.0
ROW,Ni,scrap,1830,0.0
ROW,Sn,concentrate,1830,0.0
ROW,Sn,refined_metal,1830,0.0
ROW,Sn,scrap,1830,0.0
EU27,Zn,concentrate,1831,0.0
EU27,Zn,refined_metal,1831,0.0
EU27,Zn,scrap,1831,0.0
EU27,Ni,concentrate,1831,0.0
EU27,Ni,refined_metal,1831,0.0
EU27,Ni,scrap,1831,0.0
EU27,Sn,concentrate,1831,0.0
EU27,Sn,refined_metal,1831,0.0
EU27,Sn,scrap,1831,0.0
CHN,Zn,concentrate,1831,0.0
CHN,Zn,refined_metal,1831,0.0
CHN,Zn,scrap,1831,0.0
CHN,Ni,concentrate,1831,0.0
CHN,Ni,refined_metal,1831,0.0
CHN,Ni,scrap,1831,0.0
CHN,Sn,concentrate,1831,0.0
CHN,Sn,refined_metal,1831,0.0
CHN,Sn,scrap,1831,0.0
ROW,Zn,concentrate,1831,0.0
ROW,Zn,refined_metal,1831,0.0
ROW,Zn,scrap,1831,0.0
ROW,Ni,concentrate,1831,0.0
ROW,Ni,refined_metal,1831,0.0
ROW,Ni,scrap,1831,0.0
ROW,Sn,concentrate,1831,0.0
ROW,Sn,refined_metal,1831,0.0
ROW,Sn,scrap,1831,0.0
EU27,Zn,concentrate,1832,0.0
EU27,Zn,refined_metal,1832,0.0
EU27,Zn,scrap,1832,0.0
EU27,Ni,concentrate,1832,0.0
EU27,Ni,refined_metal,1832,0.0
EU27,Ni,scrap,1832,0.0
EU27,Sn,concentrate,1832,0.0
EU27,Sn,refined_metal,1832,0.0
EU27,Sn,scrap,1832,0.0
CHN,Zn,concentrate,1832,0.0
CHN,Zn,refined_metal,1832,0.0
CHN,Zn,scrap,1832,0.0
CHN,Ni,concentrate,1832,0.0
CHN,Ni,refined_metal,1832,0.0
CHN,Ni,scrap,1832,0.0
CHN,Sn,concentrate,1832,0.0
CHN,Sn,refined_metal,1832,0.0
CHN,Sn,scrap,1832,0.0
ROW,Zn,concentrate,1832,0.0
ROW,Zn,refined_metal,1832,0.0
ROW,Zn,scrap,1832,0.0
ROW,Ni,concentrate,1832,0.0
ROW,Ni,refined_metal,1832,0.0
ROW,Ni,scrap,1832,0.0
ROW,Sn,concentrate,1832,0.0
ROW,Sn,refined_metal,1832,0.0
ROW,Sn,scrap,1832,0.0
EU27,Zn,concentrate,1833,0.0
EU27,Zn,refined_metal,1833,0.0
EU27,Zn,scrap,1833,0.0
EU27,Ni,concentrate,1833,0.0
EU27,Ni,refined_metal,1833,0.0
EU27,Ni,scrap,1833,0.0
EU27,Sn,concentrate,1833,0.0
EU27,Sn,refined_metal,1833,0.0
EU27,Sn,scrap,1833,0.0
CHN,Zn,concentrate,1833,0.0
CHN,Zn,refined_metal,1833,0.0
CHN,Zn,scrap,1833,0.0
CHN,Ni,concentrate,1833,0.0
CHN,Ni,refined_metal,1833,0.0
CHN,Ni,scrap,1833,0.0
CHN,Sn,concentrate,1833,0.0
CHN,Sn,refined_metal,1833,0.0
CHN,Sn,scrap,1833,0.0
ROW,Zn,concentrate,1833,0.0
ROW,Zn,refined_metal,1833,0.0
ROW,Zn,scrap,1833,0.0
ROW,Ni,concentrate,1833,0.0
ROW,Ni,refined_metal,1833,0.0
ROW,Ni,scrap,1833,0.0
ROW,Sn,concentrate,1833,0.0
ROW,Sn,refined_metal,1833,0.0
ROW,Sn,scrap,1833,0.0
EU27,Zn,concentrate,1834,0.0
EU27,Zn,refined_metal,1834,0.0
EU27,Zn,scrap,1834,0.0
EU27,Ni,concentrate,1834,0.0
EU27,Ni,refined_metal,1834,0.0
EU27,Ni,scrap,1834,0.0
EU27,Sn,concentrate,1834,0.0
EU27,Sn,refined_metal,1834,0.0
EU27,Sn,scrap,1834,0.0
CHN,Zn,concentrate,1834,0.0
CHN,Zn,refined_metal,1834,0.0
CHN,Zn,scrap,1834,0.0
CHN,Ni,concentrate,1834,0.0
CHN,Ni,refined_metal,1834,0.0
CHN,Ni,scrap,1834,0.0
CHN,Sn,concentrate,1834,0.0
CHN,Sn,refined_metal,1834,0.0
CHN,Sn,scrap,1834,0.0
ROW,Zn,concentrate,1834,0.0
ROW,Zn,refined_metal,1834,0.0
ROW,Zn,scrap,1834,0.0
ROW,Ni,concentrate,1834,0.0
ROW,Ni,refined_metal,1834,0.0
ROW,Ni,scrap,1834,0.0
ROW,Sn,concentrate,1834,0.0
ROW,Sn,refined_metal,1834,0.0
ROW,Sn,scrap,1834,0.0
EU27,Zn,concentrate,1835,0.0
EU27,Zn,refined_metal,1835,0.0
EU27,Zn,scrap,1835,0.0
EU27,Ni,concentrate,1835,0.0
EU27,Ni,refined_metal,1835,0.0
EU27,Ni,scrap,1835,0.0
EU27,Sn,concentrate,1835,0.0
EU27,Sn,refined_metal,1835,0.0
EU27,Sn,scrap,1835,0.0
CHN,Zn,concentrate,1835,0.0
CHN,Zn,refined_metal,1835,0.0
CHN,Zn,scrap,1835,0.0
CHN,Ni,concentrate,1835,0.0
CHN,Ni,refined_metal,1835,0.0
CHN,Ni,scrap,1835,0.0
CHN,Sn,concentrate,1835,0.0
CHN,Sn,refined_metal,1835,0.0
CHN,Sn,scrap,1835,0.0
ROW,Zn,concentrate,1835,0.0
ROW,Zn,refined_metal,1835,0.0
ROW,Zn,scrap,1835,0.0
ROW,Ni,concentrate,1835,0.0
ROW,Ni,refined_metal,1835,0.0
ROW,Ni,scrap,1835,0.0
ROW,Sn,concentrate,1835,0.0
ROW,Sn,refined_metal,1835,0.0
ROW,Sn,scrap,1835,0.0
EU27,Zn,concentrate,1836,0.0
EU27,Zn,refined_metal,1836,0.0
EU27,Zn,scrap,1836,0.0
EU27,Ni,concentrate,1836,0.0
EU27,Ni,refined_metal,1836,0.0
EU27,Ni,scrap,1836,0.0
EU27,Sn,concentrate,1836,0.0
EU27,Sn,refined_metal,1836,0.0
EU27,Sn,scrap,1836,0.0
CHN,Zn,concentrate,1836,0.0
CHN,Zn,refined_metal,1836,0.0
CHN,Zn,scrap,1836,0.0
CHN,Ni,concentrate,1836,0.0
CHN,Ni,refined_metal,1836,0.0
CHN,Ni,scrap,1836,0.0
CHN,Sn,concentrate,1836,0.0
CHN,Sn,refined_metal,1836,0.0
CHN,Sn,scrap,1836,0.0
ROW,Zn,concentrate,1836,0.0
ROW,Zn,refined_metal,1836,0.0
ROW,Zn,scrap,1836,0.0
ROW,Ni,concentrate,1836,0.0
ROW,Ni,refined_metal,1836,0.0
ROW,Ni,scrap,1836,0.0
ROW,Sn,concentrate,1836,0.0
ROW,Sn,refined_metal,1836,0.0
ROW,Sn,scrap,1836,0.0
EU27,Zn,concentrate,1837,0.0
EU27,Zn,refined_metal,1837,0.0
EU27,Zn,scrap,1837,0.0
EU27,Ni,concentrate,1837,0.0
EU27,Ni,refined_metal,1837,0.0
EU27,Ni,scrap,1837,0.0
EU27,Sn,concentrate,1837,0.0
EU27,Sn,refined_metal,1837,0.0
EU27,Sn,scrap,1837,0.0
CHN,Zn,concentrate,1837,0.0
CHN,Zn,refined_metal,1837,0.0
CHN,Zn,scrap,1837,0.0
CHN,Ni,concentrate,1837,0.0
CHN,Ni,refined_metal,1837,0.0
CHN,Ni,scrap,1837,0.0
CHN,Sn,concentrate,1837,0.0
CHN,Sn,refined_metal,1837,0.0
CHN,Sn,scrap,1837,0.0
ROW,Zn,concentrate,1837,0.0
ROW,Zn,refined_metal,1837,0.0
ROW,Zn,scrap,1837,0.0
ROW,Ni,concentrate,1837,0.0
ROW,Ni,refined_metal,1837,0.0
ROW,Ni,scrap,1837,0.0
ROW,Sn,concentrate,1837,0.0
ROW,Sn,refined_metal,1837,0.0
ROW,Sn,scrap,1837,0.0
EU27,Zn,concentrate,1838,0.0
EU27,Zn,refined_metal,1838,0.0
EU27,Zn,scrap,1838,0.0
EU27,Ni,concentrate,1838,0.0
EU27,Ni,refined_metal,1838,0.0
EU27,Ni,scrap,1838,0.0
EU27,Sn,concentrate,1838,0.0
EU27,Sn,refined_metal,1838,0.0
EU27,Sn,scrap,1838,0.0
CHN,Zn,concentrate,1838,0.0
CHN,Zn,refined_metal,1838,0.0
CHN,Zn,scrap,1838,0.0
CHN,Ni,concentrate,1838,0.0
CHN,Ni,refined_metal,1838,0.0
CHN,Ni,scrap,1838,0.0
CHN,Sn,concentrate,1838,0.0
CHN,Sn,refined_metal,1838,0.0
CHN,Sn,scrap,1838,0.0
ROW,Zn,concentrate,1838,0.0
ROW,Zn,refined_metal,1838,0.0
ROW,Zn,scrap,1838,0.0
ROW,Ni,concentrate,1838,0.0
ROW,Ni,refined_metal,1838,0.0
ROW,Ni,scrap,1838,0.0
ROW,Sn,concentrate,1838,0.0
ROW,Sn,refined_metal,1838,0.0
ROW,Sn,scrap,1838,0.0
EU27,Zn,concentrate,1839,0.0
EU27,Zn,refined_metal,1839,0.0
EU27,Zn,scrap,1839,0.0
EU27,Ni,concentrate,1839,0.0
EU27,Ni,refined_metal,1839,0.0
EU27,Ni,scrap,1839,0.0
EU27,Sn,concentrate,1839,0.0
EU27,Sn,refined_metal,1839,0.0
EU27,Sn,scrap,1839,0.0
CHN,Zn,concentrate,1839,0.0
CHN,Zn,refined_metal,1839,0.0
CHN,Zn,scrap,1839,0.0
CHN,Ni,concentrate,1839,0.0
CHN,Ni,refined_metal,1839,0.0
CHN,Ni,scrap,1839,0.0
CHN,Sn,concentrate,1839,0.0
CHN,Sn,refined_metal,1839,0.0
CHN,Sn,scrap,1839,0.0
ROW,Zn,concentrate,1839,0.0
ROW,Zn,refined_metal,1839,0.0
ROW,Zn,scrap,1839,0.0
ROW,Ni,concentrate,1839,0.0
ROW,Ni,refined_metal,1839,0.0
ROW,Ni,scrap,1839,0.0
ROW,Sn,concentrate,1839,0.0
ROW,Sn,refined_metal,1839,0.0
ROW,Sn,scrap,1839,0.0
EU27,Zn,concentrate,1840,0.0
EU27,Zn,refined_metal,1840,0.0
EU27,Zn,scrap,1840,0.0
EU27,Ni,concentrate,1840,0.0
EU27,Ni,refined_metal,1840,0.0
EU27,Ni,scrap,1840,0.0
EU27,Sn,concentrate,1840,0.0
EU27,Sn,refined_metal,1840,0.0
EU27,Sn,scrap,1840,0.0
CHN,Zn,concentrate,1840,0.0
CHN,Zn,refined_metal,1840,0.0
CHN,Zn,scrap,1840,0.0
CHN,Ni,concentrate,1840,0.0
CHN,Ni,refined_metal,1840,0.0
CHN,Ni,scrap,1840,0.0
CHN,Sn,concentrate,1840,0.0
CHN,Sn,refined_metal,1840,0.0
CHN,Sn,scrap,1840,0.0
ROW,Zn,concentrate,1840,0.0
ROW,Zn,refined_metal,1840,0.0
ROW,Zn,scrap,1840,0.0
ROW,Ni,concentrate,1840,0.0
ROW,Ni,refined_metal,1840,0.0
ROW,Ni,scrap,1840,0.0
ROW,Sn,concentrate,1840,0.0
ROW,Sn,refined_metal,1840,0.0
ROW,Sn,scrap,1840,0.0
EU27,Zn,concentrate,1841,0.0
EU27,Zn,refined_metal,1841,0.0
EU27,Zn,scrap,1841,0.0
EU27,Ni,concentrate,1841,0.0
EU27,Ni,refined_metal,1841,0.0
EU27,Ni,scrap,1841,0.0
EU27,Sn,concentrate,1841,0.0
EU27,Sn,refined_metal,1841,0.0
EU27,Sn,scrap,1841,0.0
CHN,Zn,concentrate,1841,0.0
CHN,Zn,refined_metal,1841,0.0
CHN,Zn,scrap,1841,0.0
CHN,Ni,concentrate,1841,0.0
CHN,Ni,refined_metal,1841,0.0
CHN,Ni,scrap,1841,0.0
CHN,Sn,concentrate,1841,0.0
CHN,Sn,refined_metal,1841,0.0
CHN,Sn,scrap,1841,0.0
ROW,Zn,concentrate,1841,0.0
ROW,Zn,refined_metal,1841,0.0
ROW,Zn,scrap,1841,0.0
ROW,Ni,concentrate,1841,0.0
ROW,Ni,refined_metal,1841,0.0
ROW,Ni,scrap,1841,0.0
ROW,Sn,concentrate,1841,0.0
ROW,Sn,refined_metal,1841,0.0
ROW,Sn,scrap,1841,0.0
EU27,Zn,concentrate,1842,0.0
EU27,Zn,refined_metal,1842,0.0
EU27,Zn,scrap,1842,0.0
EU27,Ni,concentrate,1842,0.0
EU27,Ni,refined_metal,1842,0.0
EU27,Ni,scrap,1842,0.0
EU27,Sn,concentrate,1842,0.0
EU27,Sn,refined_metal,1842,0.0
EU27,Sn,scrap,1842,0.0
CHN,Zn,concentrate,1842,0.0
CHN,Zn,refined_metal,1842,0.0
CHN,Zn,scrap,1842,0.0
CHN,Ni,concentrate,1842,0.0
CHN,Ni,refined_metal,1842,0.0
CHN,Ni,scrap,1842,0.0
CHN,Sn,concentrate,1842,0.0
CHN,Sn,refined_metal,1842,0.0
CHN,Sn,scrap,1842,0.0
ROW,Zn,concentrate,1842,0.0
ROW,Zn,refined_metal,1842,0.0
ROW,Zn,scrap,1842,0.0
ROW,Ni,concentrate,1842,0.0
ROW,Ni,refined_metal,1842,0.0
ROW,Ni,scrap,1842,0.0
ROW,Sn,concentrate,1842,0.0
ROW,Sn,refined_metal,1842,0.0
ROW,Sn,scrap,1842,0.0
EU27,Zn,concentrate,1843,0.0
EU27,Zn,refined_metal,1843,0.0
EU27,Zn,scrap,1843,0.0
EU27,Ni,concentrate,1843,0.0
EU27,Ni,refined_metal,1843,0.0
EU27,Ni,scrap,1843,0.0
EU27,Sn,concentrate,1843,0.0
EU27,Sn,refined_metal,1843,0.0
EU27,Sn,scrap,1843,0.0
CHN,Zn,concentrate,1843,0.0
CHN,Zn,refined_metal,1843,0.0
CHN,Zn,scrap,1843,0.0
CHN,Ni,concentrate,1843,0.0
CHN,Ni,refined_metal,1843,0.0
CHN,Ni,scrap,1843,0.0
CHN,Sn,concentrate,1843,0.0
CHN,Sn,refined_metal,1843,0.0
CHN,Sn,scrap,1843,0.0
ROW,Zn,concentrate,1843,0.0
ROW,Zn,refined_metal,1843,0.0
ROW,Zn,scrap,1843,0.0
ROW,Ni,concentrate,1843,0.0
ROW,Ni,refined_metal,1843,0.0
ROW,Ni,scrap,1843,0.0
ROW,Sn,concentrate,1843,0.0
ROW,Sn,refined_metal,1843,0.0
ROW,Sn,scrap,1843,0.0
EU27,Zn,concentrate,1844,0.0
EU27,Zn,refined_metal,1844,0.0
EU27,Zn,scrap,1844,0.0
EU27,Ni,concentrate,1844,0.0
EU27,Ni,refined_metal,1844,0.0
EU27,Ni,scrap,1844,0.0
EU27,Sn,concentrate,1844,0.0
EU27,Sn,refined_metal,1844,0.0
EU27,Sn,scrap,1844,0.0
CHN,Zn,concentrate,1844,0.0
CHN,Zn,refined_metal,1844,0.0
CHN,Zn,scrap,1844,0.0
CHN,Ni,concentrate,1844,0.0
CHN,Ni,refined_metal,1844,0.0
CHN,Ni,scrap,1844,0.0
CHN,Sn,concentrate,1844,0.0
CHN,Sn,refined_metal,1844,0.0
CHN,Sn,scrap,1844,0.0
ROW,Zn,concentrate,1844,0.0
ROW,Zn,refined_metal,1844,0.0
ROW,Zn,scrap,1844,0.0
ROW,Ni,concentrate,1844,0.0
ROW,Ni,refined_metal,1844,0.0
ROW,Ni,scrap,1844,0.0
ROW,Sn,concentrate,1844,0.0
ROW,Sn,refined_metal,1844,0.0
ROW,Sn,scrap,1844,0.0
EU27,Zn,concentrate,1845,0.0
EU27,Zn,refined_metal,1845,0.0
EU27,Zn,scrap,1845,0.0
EU27,Ni,concentrate,1845,0.0
EU27,Ni,refined_metal,1845,0.0
EU27,Ni,scrap,1845,0.0
EU27,Sn,concentrate,1845,0.0
EU27,Sn,refined_metal,1845,0.0
EU27,Sn,scrap,1845,0.0
CHN,Zn,concentrate,1845,0.0
CHN,Zn,refined_metal,1845,0.0
CHN,Zn,scrap,1845,0.0
CHN,Ni,concentrate,1845,0.0
CHN,Ni,refined_metal,1845,0.0
CHN,Ni,scrap,1845,0.0
CHN,Sn,concentrate,1845,0.0
CHN,Sn,refined_metal,1845,0.0
CHN,Sn,scrap,1845,0.0
ROW,Zn,concentrate,1845,0.0
ROW,Zn,refined_metal,1845,0.0
ROW,Zn,scrap,1845,0.0
ROW,Ni,concentrate,1845,0.0
ROW,Ni,refined_metal,1845,0.0
