t,o,d,m,c,value
1982,EU27,CHN,Ni,concentrate,
1982,EU27,EU27,Ni,concentrate,
1982,EU27,ROW,Ni,concentrate,
1982,ROW,CHN,Ni,concentrate,
1982,ROW,EU27,Ni,concentrate,
1982,ROW,ROW,Ni,concentrate,
1982,CHN,CHN,Ni,refined_metal,0.0
1982,CHN,EU27,Ni,refined_metal,0.5226617690436142
1982,CHN,ROW,Ni,refined_metal,0.0
1982,EU27,CHN,Ni,refined_metal,0.0
1982,EU27,EU27,Ni,refined_metal,0.0
1982,EU27,ROW,Ni,refined_metal,0.0
1982,ROW,CHN,Ni,refined_metal,0.0
1982,ROW,EU27,Ni,refined_metal,8.001772839042024
1982,ROW,ROW,Ni,refined_metal,0.0
1982,CHN,CHN,Ni,scrap,0.0390074042053002
1982,CHN,EU27,Ni,scrap,3.284611402024625
1982,CHN,ROW,Ni,scrap,8.39246646288465
1982,EU27,CHN,Ni,scrap,0.13610631314999272
1982,EU27,EU27,Ni,scrap,11.460807433047691
1982,EU27,ROW,Ni,scrap,29.283355090390305
1982,ROW,CHN,Ni,scrap,0.24916595553838403
1982,ROW,EU27,Ni,scrap,20.98097413122747
1982,ROW,ROW,Ni,scrap,53.60820511261709
1982,CHN,CHN,Sn,concentrate,
1982,CHN,EU27,Sn,concentrate,
1982,CHN,ROW,Sn,concentrate,
1982,EU27,CHN,Sn,concentrate,
1982,EU27,EU27,Sn,concentrate,
1982,EU27,ROW,Sn,concentrate,
1982,ROW,CHN,Sn,concentrate,
1982,ROW,EU27,Sn,concentrate,
1982,ROW,ROW,Sn,concentrate,
1982,CHN,CHN,Sn,refined_metal,0.0
1982,CHN,EU27,Sn,refined_metal,2.4481408087674206
1982,CHN,ROW,Sn,refined_metal,0.0
1982,EU27,CHN,Sn,refined_metal,0.0
1982,EU27,EU27,Sn,refined_metal,0.003451641080058863
1982,EU27,ROW,Sn,refined_metal,0.0
1982,ROW,CHN,Sn,refined_metal,0.0
1982,ROW,EU27,Sn,refined_metal,22.361893125835103
1982,ROW,ROW,Sn,refined_metal,0.0
1982,CHN,CHN,Sn,scrap,0.02453724273259629
1982,CHN,EU27,Sn,scrap,1.0360168591829795
1982,CHN,ROW,Sn,scrap,9.476827890262193
1982,EU27,CHN,Sn,scrap,0.7327037762732718
1982,EU27,EU27,Sn,scrap,30.936379986889577
1982,EU27,ROW,Sn,scrap,282.9864650221137
1982,ROW,CHN,Sn,scrap,2.173365439564539
1982,ROW,EU27,Sn,scrap,91.76431358211707
1982,ROW,ROW,Sn,scrap,839.4019832568956
1982,CHN,CHN,Zn,concentrate,
1982,CHN,EU27,Zn,concentrate,
1982,CHN,ROW,Zn,concentrate,
1982,EU27,CHN,Zn,concentrate,
1982,EU27,EU27,Zn,concentrate,
1982,EU27,ROW,Zn,concentrate,
1982,ROW,CHN,Zn,concentrate,
1982,ROW,EU27,Zn,concentrate,
1982,ROW,ROW,Zn,concentrate,
1982,CHN,CHN,Zn,refined_metal,0.0
1982,CHN,EU27,Zn,refined_metal,0.0
1982,CHN,ROW,Zn,refined_metal,0.0
1982,EU27,CHN,Zn,refined_metal,0.0
1982,EU27,EU27,Zn,refined_metal,0.0
1982,EU27,ROW,Zn,refined_metal,0.0
1982,ROW,CHN,Zn,refined_metal,0.0
1982,ROW,EU27,Zn,refined_metal,0.0
1982,ROW,ROW,Zn,refined_metal,0.0
1982,CHN,CHN,Zn,scrap,97.68625319049214
1982,CHN,EU27,Zn,scrap,427.35354466405397
1982,CHN,ROW,Zn,scrap,611.7932341728587
1982,EU27,CHN,Zn,scrap,346.5036272711375
1982,EU27,EU27,Zn,scrap,1515.868901886447
1982,EU27,ROW,Zn,scrap,2170.0962812797175
1982,ROW,CHN,Zn,scrap,410.95223559633547
1982,ROW,EU27,Zn,scrap,1797.8158526281236
1982,ROW,ROW,Zn,scrap,2573.7275112371626
1983,CHN,CHN,Ni,concentrate,
1983,CHN,EU27,Ni,concentrate,
1983,CHN,ROW,Ni,concentrate,
1983,EU27,CHN,Ni,concentrate,
1983,EU27,EU27,Ni,concentrate,
1983,EU27,ROW,Ni,concentrate,
1983,ROW,CHN,Ni,concentrate,
1983,ROW,EU27,Ni,concentrate,
1983,ROW,ROW,Ni,concentrate,
1983,CHN,CHN,Ni,refined_metal,0.0
1983,CHN,EU27,Ni,refined_metal,1.8756876669788287
1983,CHN,ROW,Ni,refined_metal,0.0
1983,EU27,CHN,Ni,refined_metal,0.0
