t,r,m,value
1838,EU27,Ni,1.0055513161578087
1838,EU27,Sn,3.014132589161381
1838,EU27,Zn,1.1138440930060742
1838,ROW,Ni,0.0
1838,ROW,Sn,0.4207684297633976
1838,ROW,Zn,0.5489671794256092
1839,CHN,Ni,1.0012367863731066
1839,CHN,Sn,0.5119937730595859
1839,CHN,Zn,0.5571628960681743
1839,EU27,Ni,1.0056622071270072
1839,EU27,Sn,3.118048371860776
1839,EU27,Zn,1.0911873670929075
1839,ROW,Ni,0.0
1839,ROW,Sn,0.42058696750990726
1839,ROW,Zn,0.5483582458153585
1840,CHN,Ni,1.0012630480248181
1840,CHN,Sn,0.5114677792941641
1840,CHN,Zn,0.5560593888433631
1840,EU27,Ni,1.005761379936214
1840,EU27,Sn,2.9481859354779263
1840,EU27,Zn,1.1039064845723014
1840,ROW,Ni,0.0
1840,ROW,Sn,0.4204197374587139
1840,ROW,Zn,0.5477966514328465
1841,CHN,Ni,1.0012871161978123
1841,CHN,Sn,0.5109748846491825
1841,CHN,Zn,0.5550403396406651
1841,EU27,Ni,1.0058499495891078
1841,EU27,Sn,3.052072935163116
1841,EU27,Zn,1.08247778284899
1841,ROW,Ni,0.0
1841,ROW,Sn,0.42026527983150036
1841,ROW,Zn,0.5472780226294996
1842,CHN,Ni,1.0013091827209404
1842,CHN,Sn,0.5105125846646856
1842,CHN,Zn,0.5540984036672197
1842,EU27,Ni,1.0059289203608888
1842,EU27,Sn,2.892025971769455
1842,EU27,Zn,1.0951077744622797
1842,ROW,Ni,0.0
1842,ROW,Sn,0.4201223101112584
1842,ROW,Zn,0.5467984366529245
1843,CHN,Ni,1.001329420941269
1843,CHN,Sn,0.5100785894611296
1843,CHN,Zn,0.553226943364393
1843,EU27,Ni,1.0059991978906535
1843,EU27,Sn,2.9954147977153487
1843,EU27,Zn,1.074767285980557
1843,ROW,Ni,0.0
1843,ROW,Sn,0.41998969615803683
1843,ROW,Zn,0.5463543713367381
1844,CHN,Ni,1.0013479877459375
1844,CHN,Sn,0.5096708036093117
1844,CHN,Zn,0.5524199532411025
1844,EU27,Ni,1.0060615998396532
1844,EU27,Sn,2.843676057342128
1844,EU27,Zn,1.0872728597509613
1844,ROW,Ni,0.0
1844,ROW,Sn,0.41986643846513694
1844,ROW,Zn,0.5459426608370342
1845,CHN,Ni,1.00136502533732
1845,CHN,Sn,0.5092873080503096
1845,CHN,Zn,0.5516719936291318
1845,EU27,Ni,1.0061168652716352
1845,EU27,Sn,2.9462596375412464
