t,r,m,j,value
1821,CHN,Ni,other_transport_equipment,0.0006376115114564
1821,CHN,Ni,products_nec,0.0305650186681766
1821,CHN,Sn,construction,0.4616676300309933
1821,CHN,Sn,computers_and_precision_instruments,1.4867624924660607
1821,CHN,Sn,electrical_equipment,1.1222746374264174
1821,CHN,Sn,machinery_and_equipment,0.7606634760409537
1821,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.5603686029690383
1821,CHN,Sn,other_transport_equipment,0.154981050745859
1821,CHN,Sn,products_nec,0.6075274018018516
1821,ROW,Zn,construction,5.825028589156065
1821,ROW,Zn,computers_and_precision_instruments,28.074263954639225
1821,ROW,Zn,electrical_equipment,20.58033574235061
1821,ROW,Zn,machinery_and_equipment,26.350251363048873
1821,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,20.5661066574381
1821,ROW,Zn,other_transport_equipment,4.914189179750854
1821,ROW,Zn,products_nec,73.61416388034175
1821,ROW,Ni,construction,0.0
1821,ROW,Ni,computers_and_precision_instruments,0.0
1821,ROW,Ni,electrical_equipment,0.0
1821,ROW,Ni,machinery_and_equipment,0.0
1821,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1821,ROW,Ni,other_transport_equipment,0.0
1821,ROW,Ni,products_nec,0.0
1821,ROW,Sn,construction,1.6400341426981715
1821,ROW,Sn,computers_and_precision_instruments,3.691228098416384
1821,ROW,Sn,electrical_equipment,3.090302903210313
1821,ROW,Sn,machinery_and_equipment,6.530526031633909
1821,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,3.839276608310609
1821,ROW,Sn,other_transport_equipment,1.1210034855146498
1821,ROW,Sn,products_nec,14.968075263235376
1822,EU27,Zn,construction,10.241092932534045
1822,EU27,Zn,computers_and_precision_instruments,7.87132129422809
1822,EU27,Zn,electrical_equipment,18.013543773454973
1822,EU27,Zn,machinery_and_equipment,117.74372850360008
1822,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,26.87747044370735
1822,EU27,Zn,other_transport_equipment,7.431038971138362
1822,EU27,Zn,products_nec,38.63707120665298
1822,EU27,Ni,construction,0.9656696788538692
1822,EU27,Ni,computers_and_precision_instruments,2.291176041598094
1822,EU27,Ni,electrical_equipment,4.102035126055678
1822,EU27,Ni,machinery_and_equipment,41.82792452132751
1822,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,8.39060978984015
1822,EU27,Ni,other_transport_equipment,1.707367878745678
1822,EU27,Ni,products_nec,12.187183630245698
1822,EU27,Sn,construction,1.5834067040203634
1822,EU27,Sn,computers_and_precision_instruments,1.2302971377893748
1822,EU27,Sn,electrical_equipment,2.810916426123276
1822,EU27,Sn,machinery_and_equipment,25.81803263084664
1822,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,5.362371469007923
1822,EU27,Sn,other_transport_equipment,1.339392087072148
1822,EU27,Sn,products_nec,7.609454354316249
1822,CHN,Zn,construction,0.1636772783062747
1822,CHN,Zn,computers_and_precision_instruments,2.612604146548428
1822,CHN,Zn,electrical_equipment,0.8571438387895506
1822,CHN,Zn,machinery_and_equipment,0.5713753725473989
1822,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.8335018177356373
1822,CHN,Zn,other_transport_equipment,0.0885757187296841
1822,CHN,Zn,products_nec,1.2035348906815386
1822,CHN,Ni,construction,0.0015613527802852
1822,CHN,Ni,computers_and_precision_instruments,0.0635102303172029
1822,CHN,Ni,electrical_equipment,0.0137620555547119
1822,CHN,Ni,machinery_and_equipment,0.0089296741801471
1822,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0210007236546863
1822,CHN,Ni,other_transport_equipment,0.0006376115114564
1822,CHN,Ni,products_nec,0.0305650186681766
1822,CHN,Sn,construction,0.4616676300309933
1822,CHN,Sn,computers_and_precision_instruments,1.4867624924660607
1822,CHN,Sn,electrical_equipment,1.1222746374264174
1822,CHN,Sn,machinery_and_equipment,0.7606634760409537
1822,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.5603686029690383
1822,CHN,Sn,other_transport_equipment,0.154981050745859
1822,CHN,Sn,products_nec,0.6075274018018516
1822,ROW,Zn,construction,5.825028589156065
1822,ROW,Zn,computers_and_precision_instruments,28.074263954639225
1822,ROW,Zn,electrical_equipment,20.58033574235061
1822,ROW,Zn,machinery_and_equipment,26.350251363048873
1822,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,20.5661066574381
1822,ROW,Zn,other_transport_equipment,4.914189179750854
1822,ROW,Zn,products_nec,73.61416388034175
1822,ROW,Ni,construction,0.0
1822,ROW,Ni,computers_and_precision_instruments,0.0
1822,ROW,Ni,electrical_equipment,0.0
1822,ROW,Ni,machinery_and_equipment,0.0
1822,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1822,ROW,Ni,other_transport_equipment,0.0
1822,ROW,Ni,products_nec,0.0
1822,ROW,Sn,construction,1.6400341426981715
1822,ROW,Sn,computers_and_precision_instruments,3.691228098416384
1822,ROW,Sn,electrical_equipment,3.090302903210313
1822,ROW,Sn,machinery_and_equipment,6.530526031633909
1822,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,3.839276608310609
1822,ROW,Sn,other_transport_equipment,1.1210034855146498
1822,ROW,Sn,products_nec,14.968075263235376
1823,EU27,Zn,construction,10.241092932534045
1823,EU27,Zn,computers_and_precision_instruments,7.87132129422809
1823,EU27,Zn,electrical_equipment,18.013543773454973
1823,EU27,Zn,machinery_and_equipment,117.74372850360008
1823,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,26.87747044370735
1823,EU27,Zn,other_transport_equipment,7.431038971138362
1823,EU27,Zn,products_nec,38.63707120665298
1823,EU27,Ni,construction,0.9656696788538692
1823,EU27,Ni,computers_and_precision_instruments,2.291176041598094
1823,EU27,Ni,electrical_equipment,4.102035126055678
1823,EU27,Ni,machinery_and_equipment,41.82792452132751
1823,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,8.39060978984015
1823,EU27,Ni,other_transport_equipment,1.707367878745678
1823,EU27,Ni,products_nec,12.187183630245698
1823,EU27,Sn,construction,1.5834067040203634
1823,EU27,Sn,computers_and_precision_instruments,1.2302971377893748
1823,EU27,Sn,electrical_equipment,2.810916426123276
1823,EU27,Sn,machinery_and_equipment,25.81803263084664
1823,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,5.362371469007923
1823,EU27,Sn,other_transport_equipment,1.339392087072148
1823,EU27,Sn,products_nec,7.609454354316249
1823,CHN,Zn,construction,0.1636772783062747
1823,CHN,Zn,computers_and_precision_instruments,2.612604146548428
1823,CHN,Zn,electrical_equipment,0.8571438387895506
1823,CHN,Zn,machinery_and_equipment,0.5713753725473989
1823,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.8335018177356373
1823,CHN,Zn,other_transport_equipment,0.0885757187296841
1823,CHN,Zn,products_nec,1.2035348906815386
1823,CHN,Ni,construction,0.0015613527802852
1823,CHN,Ni,computers_and_precision_instruments,0.0635102303172029
1823,CHN,Ni,electrical_equipment,0.0137620555547119
1823,CHN,Ni,machinery_and_equipment,0.0089296741801471
1823,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0210007236546863
1823,CHN,Ni,other_transport_equipment,0.0006376115114564
1823,CHN,Ni,products_nec,0.0305650186681766
1823,CHN,Sn,construction,0.4616676300309933
1823,CHN,Sn,computers_and_precision_instruments,1.4867624924660607
1823,CHN,Sn,electrical_equipment,1.1222746374264174
1823,CHN,Sn,machinery_and_equipment,0.7606634760409537
1823,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.5603686029690383
1823,CHN,Sn,other_transport_equipment,0.154981050745859
1823,CHN,Sn,products_nec,0.6075274018018516
1823,ROW,Zn,construction,5.825028589156065
1823,ROW,Zn,computers_and_precision_instruments,28.074263954639225
1823,ROW,Zn,electrical_equipment,20.58033574235061
1823,ROW,Zn,machinery_and_equipment,26.350251363048873
1823,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,20.5661066574381
1823,ROW,Zn,other_transport_equipment,4.914189179750854
1823,ROW,Zn,products_nec,73.61416388034175
1823,ROW,Ni,construction,0.0
1823,ROW,Ni,computers_and_precision_instruments,0.0
1823,ROW,Ni,electrical_equipment,0.0
1823,ROW,Ni,machinery_and_equipment,0.0
1823,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1823,ROW,Ni,other_transport_equipment,0.0
1823,ROW,Ni,products_nec,0.0
1823,ROW,Sn,construction,1.6400341426981715
1823,ROW,Sn,computers_and_precision_instruments,3.691228098416384
1823,ROW,Sn,electrical_equipment,3.090302903210313
1823,ROW,Sn,machinery_and_equipment,6.530526031633909
1823,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,3.839276608310609
1823,ROW,Sn,other_transport_equipment,1.1210034855146498
1823,ROW,Sn,products_nec,14.968075263235376
1824,EU27,Zn,construction,10.241092932534045
1824,EU27,Zn,computers_and_precision_instruments,7.87132129422809
1824,EU27,Zn,electrical_equipment,18.013543773454973
1824,EU27,Zn,machinery_and_equipment,117.74372850360008
1824,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,26.87747044370735
1824,EU27,Zn,other_transport_equipment,7.431038971138362
1824,EU27,Zn,products_nec,38.63707120665298
1824,EU27,Ni,construction,0.9656696788538692
1824,EU27,Ni,computers_and_precision_instruments,2.291176041598094
1824,EU27,Ni,electrical_equipment,4.102035126055678
1824,EU27,Ni,machinery_and_equipment,41.82792452132751
1824,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,8.39060978984015
1824,EU27,Ni,other_transport_equipment,1.707367878745678
1824,EU27,Ni,products_nec,12.187183630245698
1824,EU27,Sn,construction,1.5834067040203634
1824,EU27,Sn,computers_and_precision_instruments,1.2302971377893748
1824,EU27,Sn,electrical_equipment,2.810916426123276
1824,EU27,Sn,machinery_and_equipment,25.81803263084664
1824,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,5.362371469007923
1824,EU27,Sn,other_transport_equipment,1.339392087072148
1824,EU27,Sn,products_nec,7.609454354316249
1824,CHN,Zn,construction,0.1636772783062747
1824,CHN,Zn,computers_and_precision_instruments,2.612604146548428
1824,CHN,Zn,electrical_equipment,0.8571438387895506
1824,CHN,Zn,machinery_and_equipment,0.5713753725473989
1824,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.8335018177356373
1824,CHN,Zn,other_transport_equipment,0.0885757187296841
1824,CHN,Zn,products_nec,1.2035348906815386
1824,CHN,Ni,construction,0.0015613527802852
1824,CHN,Ni,computers_and_precision_instruments,0.0635102303172029
1824,CHN,Ni,electrical_equipment,0.0137620555547119
1824,CHN,Ni,machinery_and_equipment,0.0089296741801471
1824,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0210007236546863
1824,CHN,Ni,other_transport_equipment,0.0006376115114564
1824,CHN,Ni,products_nec,0.0305650186681766
1824,CHN,Sn,construction,0.4616676300309933
1824,CHN,Sn,computers_and_precision_instruments,1.4867624924660607
1824,CHN,Sn,electrical_equipment,1.1222746374264174
1824,CHN,Sn,machinery_and_equipment,0.7606634760409537
1824,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.5603686029690383
1824,CHN,Sn,other_transport_equipment,0.154981050745859
1824,CHN,Sn,products_nec,0.6075274018018516
1824,ROW,Zn,construction,5.825028589156065
1824,ROW,Zn,computers_and_precision_instruments,28.074263954639225
1824,ROW,Zn,electrical_equipment,20.58033574235061
1824,ROW,Zn,machinery_and_equipment,26.350251363048873
1824,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,20.5661066574381
1824,ROW,Zn,other_transport_equipment,4.914189179750854
1824,ROW,Zn,products_nec,73.61416388034175
1824,ROW,Ni,construction,0.0
1824,ROW,Ni,computers_and_precision_instruments,0.0
1824,ROW,Ni,electrical_equipment,0.0
1824,ROW,Ni,machinery_and_equipment,0.0
1824,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1824,ROW,Ni,other_transport_equipment,0.0
1824,ROW,Ni,products_nec,0.0
1824,ROW,Sn,construction,1.6400341426981715
1824,ROW,Sn,computers_and_precision_instruments,3.691228098416384
1824,ROW,Sn,electrical_equipment,3.090302903210313
1824,ROW,Sn,machinery_and_equipment,6.530526031633909
1824,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,3.839276608310609
1824,ROW,Sn,other_transport_equipment,1.1210034855146498
1824,ROW,Sn,products_nec,14.968075263235376
1825,EU27,Zn,construction,10.241092932534045
1825,EU27,Zn,computers_and_precision_instruments,7.87132129422809
1825,EU27,Zn,electrical_equipment,18.013543773454973
1825,EU27,Zn,machinery_and_equipment,117.74372850360008
1825,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,26.87747044370735
1825,EU27,Zn,other_transport_equipment,7.431038971138362
1825,EU27,Zn,products_nec,38.63707120665298
1825,EU27,Ni,construction,0.9656696788538692
1825,EU27,Ni,computers_and_precision_instruments,2.291176041598094
1825,EU27,Ni,electrical_equipment,4.102035126055678
1825,EU27,Ni,machinery_and_equipment,41.82792452132751
1825,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,8.39060978984015
1825,EU27,Ni,other_transport_equipment,1.707367878745678
1825,EU27,Ni,products_nec,12.187183630245698
1825,EU27,Sn,construction,1.5834067040203634
1825,EU27,Sn,computers_and_precision_instruments,1.2302971377893748
1825,EU27,Sn,electrical_equipment,2.810916426123276
1825,EU27,Sn,machinery_and_equipment,25.81803263084664
1825,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,5.362371469007923
1825,EU27,Sn,other_transport_equipment,1.339392087072148
1825,EU27,Sn,products_nec,7.609454354316249
1825,CHN,Zn,construction,0.1636772783062747
1825,CHN,Zn,computers_and_precision_instruments,2.612604146548428
1825,CHN,Zn,electrical_equipment,0.8571438387895506
1825,CHN,Zn,machinery_and_equipment,0.5713753725473989
1825,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.8335018177356373
1825,CHN,Zn,other_transport_equipment,0.0885757187296841
1825,CHN,Zn,products_nec,1.2035348906815386
1825,CHN,Ni,construction,0.0015613527802852
1825,CHN,Ni,computers_and_precision_instruments,0.0635102303172029
1825,CHN,Ni,electrical_equipment,0.0137620555547119
1825,CHN,Ni,machinery_and_equipment,0.0089296741801471
1825,CHN,Ni,motor_vehicles_trailers_and_semi_trailers,0.0210007236546863
1825,CHN,Ni,other_transport_equipment,0.0006376115114564
1825,CHN,Ni,products_nec,0.0305650186681766
1825,CHN,Sn,construction,0.4616676300309933
1825,CHN,Sn,computers_and_precision_instruments,1.4867624924660607
1825,CHN,Sn,electrical_equipment,1.1222746374264174
1825,CHN,Sn,machinery_and_equipment,0.7606634760409537
1825,CHN,Sn,motor_vehicles_trailers_and_semi_trailers,0.5603686029690383
1825,CHN,Sn,other_transport_equipment,0.154981050745859
1825,CHN,Sn,products_nec,0.6075274018018516
1825,ROW,Zn,construction,5.825028589156065
1825,ROW,Zn,computers_and_precision_instruments,28.074263954639225
1825,ROW,Zn,electrical_equipment,20.58033574235061
1825,ROW,Zn,machinery_and_equipment,26.350251363048873
1825,ROW,Zn,motor_vehicles_trailers_and_semi_trailers,20.5661066574381
1825,ROW,Zn,other_transport_equipment,4.914189179750854
1825,ROW,Zn,products_nec,73.61416388034175
1825,ROW,Ni,construction,0.0
1825,ROW,Ni,computers_and_precision_instruments,0.0
1825,ROW,Ni,electrical_equipment,0.0
1825,ROW,Ni,machinery_and_equipment,0.0
1825,ROW,Ni,motor_vehicles_trailers_and_semi_trailers,0.0
1825,ROW,Ni,other_transport_equipment,0.0
1825,ROW,Ni,products_nec,0.0
1825,ROW,Sn,construction,1.6400341426981715
1825,ROW,Sn,computers_and_precision_instruments,3.691228098416384
1825,ROW,Sn,electrical_equipment,3.090302903210313
1825,ROW,Sn,machinery_and_equipment,6.530526031633909
1825,ROW,Sn,motor_vehicles_trailers_and_semi_trailers,3.839276608310609
1825,ROW,Sn,other_transport_equipment,1.1210034855146498
1825,ROW,Sn,products_nec,14.968075263235376
1826,EU27,Zn,construction,10.241092932534045
1826,EU27,Zn,computers_and_precision_instruments,7.87132129422809
1826,EU27,Zn,electrical_equipment,18.013543773454973
1826,EU27,Zn,machinery_and_equipment,117.74372850360008
1826,EU27,Zn,motor_vehicles_trailers_and_semi_trailers,26.87747044370735
1826,EU27,Zn,other_transport_equipment,7.431038971138362
1826,EU27,Zn,products_nec,38.63707120665298
1826,EU27,Ni,construction,0.9656696788538692
1826,EU27,Ni,computers_and_precision_instruments,2.291176041598094
1826,EU27,Ni,electrical_equipment,4.102035126055678
1826,EU27,Ni,machinery_and_equipment,41.82792452132751
1826,EU27,Ni,motor_vehicles_trailers_and_semi_trailers,8.39060978984015
1826,EU27,Ni,other_transport_equipment,1.707367878745678
1826,EU27,Ni,products_nec,12.187183630245698
1826,EU27,Sn,construction,1.5834067040203634
1826,EU27,Sn,computers_and_precision_instruments,1.2302971377893748
1826,EU27,Sn,electrical_equipment,2.810916426123276
1826,EU27,Sn,machinery_and_equipment,25.81803263084664
1826,EU27,Sn,motor_vehicles_trailers_and_semi_trailers,5.362371469007923
1826,EU27,Sn,other_transport_equipment,1.339392087072148
1826,EU27,Sn,products_nec,7.609454354316249
1826,CHN,Zn,construction,0.1636772783062747
1826,CHN,Zn,computers_and_precision_instruments,2.612604146548428
1826,CHN,Zn,electrical_equipment,0.8571438387895506
1826,CHN,Zn,machinery_and_equipment,0.5713753725473989
1826,CHN,Zn,motor_vehicles_trailers_and_semi_trailers,0.8335018177356373
1826,CHN,Zn,other_transport_equipment,0.0885757187296841
1826,CHN,Zn,products_nec,1.2035348906815386
1826,CHN,Ni,construction,0.0015613527802852
