t,o,m,value
1849,EU27,Zn,
1849,ROW,Ni,
1849,ROW,Sn,
1849,ROW,Zn,
1850,CHN,Ni,
1850,CHN,Sn,
1850,CHN,Zn,
1850,EU27,Ni,
1850,EU27,Sn,
1850,EU27,Zn,
1850,ROW,Ni,
1850,ROW,Sn,
1850,ROW,Zn,
1851,CHN,Ni,
1851,CHN,Sn,
1851,CHN,Zn,
1851,EU27,Ni,
1851,EU27,Sn,
1851,EU27,Zn,
1851,ROW,Ni,
1851,ROW,Sn,
1851,ROW,Zn,
1852,CHN,Ni,
1852,CHN,Sn,
1852,CHN,Zn,
1852,EU27,Ni,
1852,EU27,Sn,
1852,EU27,Zn,
1852,ROW,Ni,
1852,ROW,Sn,
1852,ROW,Zn,
1853,CHN,Ni,
1853,CHN,Sn,
1853,CHN,Zn,
1853,EU27,Ni,
1853,EU27,Sn,
1853,EU27,Zn,
1853,ROW,Ni,
1853,ROW,Sn,
1853,ROW,Zn,
1854,CHN,Ni,
1854,CHN,Sn,
1854,CHN,Zn,
1854,EU27,Ni,
1854,EU27,Sn,
1854,EU27,Zn,
1854,ROW,Ni,
1854,ROW,Sn,
1854,ROW,Zn,
1855,CHN,Ni,
1855,CHN,Sn,
1855,CHN,Zn,
1855,EU27,Ni,
1855,EU27,Sn,
1855,EU27,Zn,
1855,ROW,Ni,
1855,ROW,Sn,
1855,ROW,Zn,
1856,CHN,Ni,
1856,CHN,Sn,
1856,CHN,Zn,
1856,EU27,Ni,
1856,EU27,Sn,
1856,EU27,Zn,
1856,ROW,Ni,
1856,ROW,Sn,
1856,ROW,Zn,
1857,CHN,Ni,
1857,CHN,Sn,
1857,CHN,Zn,
1857,EU27,Ni,
1857,EU27,Sn,
1857,EU27,Zn,
1857,ROW,Ni,
1857,ROW,Sn,
1857,ROW,Zn,
1858,CHN,Ni,
1858,CHN,Sn,
1858,CHN,Zn,
1858,EU27,Ni,
1858,EU27,Sn,
1858,EU27,Zn,
1858,ROW,Ni,
1858,ROW,Sn,
1858,ROW,Zn,
1859,CHN,Ni,
1859,CHN,Sn,
1859,CHN,Zn,
1859,EU27,Ni,
1859,EU27,Sn,
1859,EU27,Zn,
1859,ROW,Ni,
1859,ROW,Sn,
1859,ROW,Zn,
1860,CHN,Ni,
1860,CHN,Sn,
1860,CHN,Zn,
1860,EU27,Ni,
1860,EU27,Sn,
1860,EU27,Zn,
1860,ROW,Ni,
1860,ROW,Sn,
1860,ROW,Zn,
1861,CHN,Ni,
1861,CHN,Sn,
1861,CHN,Zn,
1861,EU27,Ni,
1861,EU27,Sn,
1861,EU27,Zn,
1861,ROW,Ni,
1861,ROW,Sn,
1861,ROW,Zn,
1862,CHN,Ni,
1862,CHN,Sn,
1862,CHN,Zn,
1862,EU27,Ni,
1862,EU27,Sn,
1862,EU27,Zn,
1862,ROW,Ni,
1862,ROW,Sn,
1862,ROW,Zn,
1863,CHN,Ni,
1863,CHN,Sn,
1863,CHN,Zn,
1863,EU27,Ni,
1863,EU27,Sn,
1863,EU27,Zn,
1863,ROW,Ni,
1863,ROW,Sn,
1863,ROW,Zn,
1864,CHN,Ni,
1864,CHN,Sn,
1864,CHN,Zn,
1864,EU27,Ni,
1864,EU27,Sn,
1864,EU27,Zn,
1864,ROW,Ni,
1864,ROW,Sn,
1864,ROW,Zn,
1865,CHN,Ni,
1865,CHN,Sn,
1865,CHN,Zn,
1865,EU27,Ni,
1865,EU27,Sn,
1865,EU27,Zn,
1865,ROW,Ni,
1865,ROW,Sn,
1865,ROW,Zn,
1866,CHN,Ni,
1866,CHN,Sn,
1866,CHN,Zn,
1866,EU27,Ni,
1866,EU27,Sn,
1866,EU27,Zn,
1866,ROW,Ni,
1866,ROW,Sn,
1866,ROW,Zn,
1867,CHN,Ni,
1867,CHN,Sn,
1867,CHN,Zn,
1867,EU27,Ni,
1867,EU27,Sn,
1867,EU27,Zn,
1867,ROW,Ni,
1867,ROW,Sn,
1867,ROW,Zn,
1868,CHN,Ni,
1868,CHN,Sn,
1868,CHN,Zn,
1868,EU27,Ni,
1868,EU27,Sn,
1868,EU27,Zn,
1868,ROW,Ni,
1868,ROW,Sn,
1868,ROW,Zn,
1869,CHN,Ni,
1869,CHN,Sn,
1869,CHN,Zn,
1869,EU27,Ni,
1869,EU27,Sn,
1869,EU27,Zn,
1869,ROW,Ni,
1869,ROW,Sn,
1869,ROW,Zn,
1870,CHN,Ni,
1870,CHN,Sn,
1870,CHN,Zn,
1870,EU27,Ni,
1870,EU27,Sn,
1870,EU27,Zn,
1870,ROW,Ni,
1870,ROW,Sn,
1870,ROW,Zn,
1871,CHN,Ni,
1871,CHN,Sn,
1871,CHN,Zn,
1871,EU27,Ni,
1871,EU27,Sn,
1871,EU27,Zn,
1871,ROW,Ni,
1871,ROW,Sn,
1871,ROW,Zn,
1872,CHN,Ni,
1872,CHN,Sn,
1872,CHN,Zn,
1872,EU27,Ni,
1872,EU27,Sn,
1872,EU27,Zn,
1872,ROW,Ni,
1872,ROW,Sn,
1872,ROW,Zn,
1873,CHN,Ni,
1873,CHN,Sn,
1873,CHN,Zn,
1873,EU27,Ni,
1873,EU27,Sn,
1873,EU27,Zn,
1873,ROW,Ni,
1873,ROW,Sn,
1873,ROW,Zn,
1874,CHN,Ni,
1874,CHN,Sn,
1874,CHN,Zn,
1874,EU27,Ni,
1874,EU27,Sn,
1874,EU27,Zn,
1874,ROW,Ni,
1874,ROW,Sn,
1874,ROW,Zn,
1875,CHN,Ni,
1875,CHN,Sn,
1875,CHN,Zn,
1875,EU27,Ni,
1875,EU27,Sn,
1875,EU27,Zn,
1875,ROW,Ni,
1875,ROW,Sn,
1875,ROW,Zn,
1876,CHN,Ni,
1876,CHN,Sn,
1876,CHN,Zn,
1876,EU27,Ni,
1876,EU27,Sn,
1876,EU27,Zn,
1876,ROW,Ni,
1876,ROW,Sn,
1876,ROW,Zn,
1877,CHN,Ni,
1877,CHN,Sn,
1877,CHN,Zn,
1877,EU27,Ni,
1877,EU27,Sn,
1877,EU27,Zn,
1877,ROW,Ni,
1877,ROW,Sn,
1877,ROW,Zn,
1878,CHN,Ni,
1878,CHN,Sn,
1878,CHN,Zn,
1878,EU27,Ni,
1878,EU27,Sn,
1878,EU27,Zn,
1878,ROW,Ni,
1878,ROW,Sn,
1878,ROW,Zn,
1879,CHN,Ni,
1879,CHN,Sn,
1879,CHN,Zn,
1879,EU27,Ni,
1879,EU27,Sn,
1879,EU27,Zn,
1879,ROW,Ni,
1879,ROW,Sn,
1879,ROW,Zn,
1880,CHN,Ni,
1880,CHN,Sn,
1880,CHN,Zn,
1880,EU27,Ni,
1880,EU27,Sn,
1880,EU27,Zn,
1880,ROW,Ni,
1880,ROW,Sn,
1880,ROW,Zn,
1881,CHN,Ni,
1881,CHN,Sn,
1881,CHN,Zn,
1881,EU27,Ni,
1881,EU27,Sn,
1881,EU27,Zn,
1881,ROW,Ni,
1881,ROW,Sn,
1881,ROW,Zn,
1882,CHN,Ni,
1882,CHN,Sn,
1882,CHN,Zn,
1882,EU27,Ni,
1882,EU27,Sn,
1882,EU27,Zn,
1882,ROW,Ni,
1882,ROW,Sn,
1882,ROW,Zn,
1883,CHN,Ni,
1883,CHN,Sn,
1883,CHN,Zn,
1883,EU27,Ni,
1883,EU27,Sn,
1883,EU27,Zn,
1883,ROW,Ni,
1883,ROW,Sn,
1883,ROW,Zn,
1884,CHN,Ni,
1884,CHN,Sn,
1884,CHN,Zn,
1884,EU27,Ni,
1884,EU27,Sn,
1884,EU27,Zn,
1884,ROW,Ni,
1884,ROW,Sn,
1884,ROW,Zn,
1885,CHN,Ni,
1885,CHN,Sn,
1885,CHN,Zn,
1885,EU27,Ni,
1885,EU27,Sn,
1885,EU27,Zn,
1885,ROW,Ni,
1885,ROW,Sn,
1885,ROW,Zn,
1886,CHN,Ni,
1886,CHN,Sn,
1886,CHN,Zn,
1886,EU27,Ni,
1886,EU27,Sn,
1886,EU27,Zn,
1886,ROW,Ni,
1886,ROW,Sn,
1886,ROW,Zn,
1887,CHN,Ni,
1887,CHN,Sn,
1887,CHN,Zn,
1887,EU27,Ni,
1887,EU27,Sn,
1887,EU27,Zn,
1887,ROW,Ni,
1887,ROW,Sn,
1887,ROW,Zn,
1888,CHN,Ni,
1888,CHN,Sn,
1888,CHN,Zn,
1888,EU27,Ni,
1888,EU27,Sn,
1888,EU27,Zn,
1888,ROW,Ni,
1888,ROW,Sn,
1888,ROW,Zn,
1889,CHN,Ni,
1889,CHN,Sn,
1889,CHN,Zn,
1889,EU27,Ni,
1889,EU27,Sn,
1889,EU27,Zn,
1889,ROW,Ni,
1889,ROW,Sn,
1889,ROW,Zn,
1890,CHN,Ni,
1890,CHN,Sn,
1890,CHN,Zn,
1890,EU27,Ni,
1890,EU27,Sn,
1890,EU27,Zn,
1890,ROW,Ni,
1890,ROW,Sn,
1890,ROW,Zn,
1891,CHN,Ni,
1891,CHN,Sn,
1891,CHN,Zn,
1891,EU27,Ni,
1891,EU27,Sn,
1891,EU27,Zn,
1891,ROW,Ni,
1891,ROW,Sn,
1891,ROW,Zn,
1892,CHN,Ni,
1892,CHN,Sn,
1892,CHN,Zn,
1892,EU27,Ni,
1892,EU27,Sn,
1892,EU27,Zn,
