t,o,m,value
1949,CHN,Zn,
1949,EU27,Ni,
1949,EU27,Sn,
1949,EU27,Zn,
1949,ROW,Ni,
1949,ROW,Sn,
1949,ROW,Zn,
1950,CHN,Ni,
1950,CHN,Sn,
1950,CHN,Zn,
1950,EU27,Ni,
1950,EU27,Sn,
1950,EU27,Zn,
1950,ROW,Ni,
1950,ROW,Sn,
1950,ROW,Zn,
1951,CHN,Ni,
1951,CHN,Sn,
1951,CHN,Zn,
1951,EU27,Ni,
1951,EU27,Sn,
1951,EU27,Zn,
1951,ROW,Ni,
1951,ROW,Sn,
1951,ROW,Zn,
1952,CHN,Ni,
1952,CHN,Sn,
1952,CHN,Zn,
1952,EU27,Ni,
1952,EU27,Sn,
1952,EU27,Zn,
1952,ROW,Ni,
1952,ROW,Sn,
1952,ROW,Zn,
1953,CHN,Ni,
1953,CHN,Sn,
1953,CHN,Zn,
1953,EU27,Ni,
1953,EU27,Sn,
1953,EU27,Zn,
1953,ROW,Ni,
1953,ROW,Sn,
1953,ROW,Zn,
1954,CHN,Ni,
1954,CHN,Sn,
1954,CHN,Zn,
1954,EU27,Ni,
1954,EU27,Sn,
1954,EU27,Zn,
1954,ROW,Ni,
1954,ROW,Sn,
1954,ROW,Zn,
1955,CHN,Ni,
1955,CHN,Sn,
1955,CHN,Zn,
1955,EU27,Ni,
1955,EU27,Sn,
1955,EU27,Zn,
1955,ROW,Ni,
1955,ROW,Sn,
1955,ROW,Zn,
1956,CHN,Ni,
1956,CHN,Sn,
1956,CHN,Zn,
1956,EU27,Ni,
1956,EU27,Sn,
1956,EU27,Zn,
1956,ROW,Ni,
1956,ROW,Sn,
1956,ROW,Zn,
1957,CHN,Ni,
1957,CHN,Sn,
1957,CHN,Zn,
1957,EU27,Ni,
1957,EU27,Sn,
1957,EU27,Zn,
1957,ROW,Ni,
1957,ROW,Sn,
1957,ROW,Zn,
1958,CHN,Ni,
1958,CHN,Sn,
1958,CHN,Zn,
1958,EU27,Ni,
1958,EU27,Sn,
1958,EU27,Zn,
1958,ROW,Ni,
1958,ROW,Sn,
1958,ROW,Zn,
1959,CHN,Ni,
1959,CHN,Sn,
1959,CHN,Zn,
1959,EU27,Ni,
1959,EU27,Sn,
1959,EU27,Zn,
1959,ROW,Ni,
1959,ROW,Sn,
1959,ROW,Zn,
1960,CHN,Ni,
1960,CHN,Sn,
1960,CHN,Zn,
1960,EU27,Ni,
1960,EU27,Sn,
1960,EU27,Zn,
1960,ROW,Ni,
1960,ROW,Sn,
1960,ROW,Zn,
1961,CHN,Ni,
1961,CHN,Sn,
1961,CHN,Zn,
1961,EU27,Ni,
1961,EU27,Sn,
1961,EU27,Zn,
1961,ROW,Ni,
1961,ROW,Sn,
1961,ROW,Zn,
1962,CHN,Ni,
1962,CHN,Sn,
1962,CHN,Zn,
1962,EU27,Ni,
1962,EU27,Sn,
1962,EU27,Zn,
1962,ROW,Ni,
1962,ROW,Sn,
1962,ROW,Zn,
1963,CHN,Ni,
1963,CHN,Sn,
1963,CHN,Zn,
1963,EU27,Ni,
1963,EU27,Sn,
1963,EU27,Zn,
1963,ROW,Ni,
1963,ROW,Sn,
1963,ROW,Zn,
1964,CHN,Ni,
1964,CHN,Sn,
1964,CHN,Zn,
1964,EU27,Ni,
1964,EU27,Sn,
1964,EU27,Zn,
1964,ROW,Ni,
1964,ROW,Sn,
1964,ROW,Zn,
1965,CHN,Ni,
1965,CHN,Sn,
1965,CHN,Zn,
1965,EU27,Ni,
1965,EU27,Sn,
1965,EU27,Zn,
1965,ROW,Ni,
1965,ROW,Sn,
1965,ROW,Zn,
1966,CHN,Ni,
1966,CHN,Sn,
1966,CHN,Zn,
1966,EU27,Ni,
1966,EU27,Sn,
1966,EU27,Zn,
1966,ROW,Ni,
1966,ROW,Sn,
1966,ROW,Zn,
1967,CHN,Ni,
1967,CHN,Sn,
1967,CHN,Zn,
1967,EU27,Ni,
1967,EU27,Sn,
1967,EU27,Zn,
1967,ROW,Ni,
1967,ROW,Sn,
1967,ROW,Zn,
1968,CHN,Ni,
1968,CHN,Sn,
1968,CHN,Zn,
1968,EU27,Ni,
1968,EU27,Sn,
1968,EU27,Zn,
1968,ROW,Ni,
1968,ROW,Sn,
1968,ROW,Zn,
1969,CHN,Ni,
1969,CHN,Sn,
1969,CHN,Zn,
1969,EU27,Ni,
1969,EU27,Sn,
1969,EU27,Zn,
1969,ROW,Ni,
1969,ROW,Sn,
1969,ROW,Zn,
1970,CHN,Ni,
1970,CHN,Sn,
1970,CHN,Zn,
1970,EU27,Ni,
1970,EU27,Sn,
1970,EU27,Zn,
1970,ROW,Ni,
1970,ROW,Sn,
1970,ROW,Zn,
1971,CHN,Ni,
1971,CHN,Sn,
1971,CHN,Zn,
1971,EU27,Ni,
1971,EU27,Sn,
1971,EU27,Zn,
1971,ROW,Ni,
1971,ROW,Sn,
1971,ROW,Zn,
1972,CHN,Ni,
1972,CHN,Sn,
1972,CHN,Zn,
1972,EU27,Ni,
1972,EU27,Sn,
1972,EU27,Zn,
1972,ROW,Ni,
1972,ROW,Sn,
1972,ROW,Zn,
1973,CHN,Ni,
1973,CHN,Sn,
1973,CHN,Zn,
1973,EU27,Ni,
1973,EU27,Sn,
1973,EU27,Zn,
1973,ROW,Ni,
1973,ROW,Sn,
1973,ROW,Zn,
1974,CHN,Ni,
1974,CHN,Sn,
1974,CHN,Zn,
1974,EU27,Ni,
1974,EU27,Sn,
1974,EU27,Zn,
1974,ROW,Ni,
1974,ROW,Sn,
1974,ROW,Zn,
1975,CHN,Ni,
1975,CHN,Sn,
1975,CHN,Zn,
1975,EU27,Ni,
1975,EU27,Sn,
1975,EU27,Zn,
1975,ROW,Ni,
1975,ROW,Sn,
1975,ROW,Zn,
1976,CHN,Ni,
1976,CHN,Sn,
1976,CHN,Zn,
1976,EU27,Ni,
1976,EU27,Sn,
1976,EU27,Zn,
1976,ROW,Ni,
1976,ROW,Sn,
1976,ROW,Zn,
1977,CHN,Ni,
1977,CHN,Sn,
1977,CHN,Zn,
1977,EU27,Ni,
1977,EU27,Sn,
1977,EU27,Zn,
1977,ROW,Ni,
1977,ROW,Sn,
1977,ROW,Zn,
1978,CHN,Ni,
1978,CHN,Sn,
1978,CHN,Zn,
1978,EU27,Ni,
1978,EU27,Sn,
1978,EU27,Zn,
1978,ROW,Ni,
1978,ROW,Sn,
1978,ROW,Zn,
1979,CHN,Ni,
1979,CHN,Sn,
1979,CHN,Zn,
1979,EU27,Ni,
1979,EU27,Sn,
1979,EU27,Zn,
1979,ROW,Ni,
1979,ROW,Sn,
1979,ROW,Zn,
1980,CHN,Ni,
1980,CHN,Sn,
1980,CHN,Zn,
1980,EU27,Ni,
1980,EU27,Sn,
1980,EU27,Zn,
1980,ROW,Ni,
1980,ROW,Sn,
1980,ROW,Zn,
1981,CHN,Ni,
1981,CHN,Sn,
1981,CHN,Zn,
1981,EU27,Ni,
1981,EU27,Sn,
1981,EU27,Zn,
1981,ROW,Ni,
1981,ROW,Sn,
1981,ROW,Zn,
1982,CHN,Ni,
1982,CHN,Sn,
1982,CHN,Zn,
1982,EU27,Ni,
1982,EU27,Sn,
1982,EU27,Zn,
1982,ROW,Ni,
1982,ROW,Sn,
1982,ROW,Zn,
1983,CHN,Ni,
1983,CHN,Sn,
1983,CHN,Zn,
1983,EU27,Ni,
1983,EU27,Sn,
1983,EU27,Zn,
1983,ROW,Ni,
1983,ROW,Sn,
1983,ROW,Zn,
1984,CHN,Ni,
1984,CHN,Sn,
1984,CHN,Zn,
1984,EU27,Ni,
1984,EU27,Sn,
1984,EU27,Zn,
1984,ROW,Ni,
1984,ROW,Sn,
1984,ROW,Zn,
1985,CHN,Ni,
1985,CHN,Sn,
1985,CHN,Zn,
1985,EU27,Ni,
1985,EU27,Sn,
1985,EU27,Zn,
1985,ROW,Ni,
1985,ROW,Sn,
1985,ROW,Zn,
1986,CHN,Ni,
1986,CHN,Sn,
1986,CHN,Zn,
1986,EU27,Ni,
1986,EU27,Sn,
1986,EU27,Zn,
1986,ROW,Ni,
1986,ROW,Sn,
1986,ROW,Zn,
1987,CHN,Ni,
1987,CHN,Sn,
1987,CHN,Zn,
1987,EU27,Ni,
1987,EU27,Sn,
1987,EU27,Zn,
1987,ROW,Ni,
1987,ROW,Sn,
1987,ROW,Zn,
1988,CHN,Ni,
1988,CHN,Sn,
1988,CHN,Zn,
1988,EU27,Ni,
1988,EU27,Sn,
1988,EU27,Zn,
1988,ROW,Ni,
1988,ROW,Sn,
1988,ROW,Zn,
1989,CHN,Ni,
1989,CHN,Sn,
1989,CHN,Zn,
1989,EU27,Ni,
1989,EU27,Sn,
1989,EU27,Zn,
1989,ROW,Ni,
1989,ROW,Sn,
1989,ROW,Zn,
1990,CHN,Ni,
1990,CHN,Sn,
1990,CHN,Zn,
1990,EU27,Ni,
1990,EU27,Sn,
1990,EU27,Zn,
1990,ROW,Ni,
1990,ROW,Sn,
1990,ROW,Zn,
1991,CHN,Ni,
1991,CHN,Sn,
1991,CHN,Zn,
1991,EU27,Ni,
1991,EU27,Sn,
1991,EU27,Zn,
1991,ROW,Ni,
1991,ROW,Sn,
1991,ROW,Zn,
1992,CHN,Ni,
1992,CHN,Sn,
1992,CHN,Zn,
1992,EU27,Ni,
1992,EU27,Sn,
1992,EU27,Zn,
1992,ROW,Ni,
1992,ROW,Sn,
1992,ROW,Zn,
1993,CHN,Ni,
1993,CHN,Sn,
1993,CHN,Zn,
1993,EU27,Ni,
1993,EU27,Sn,
1993,EU27,Zn,
1993,ROW,Ni,
1993,ROW,Sn,
1993,ROW,Zn,
1994,CHN,Ni,
1994,CHN,Sn,
1994,CHN,Zn,
1994,EU27,Ni,
1994,EU27,Sn,
1994,EU27,Zn,
1994,ROW,Ni,
1994,ROW,Sn,
1994,ROW,Zn,
1995,CHN,Ni,
1995,CHN,Sn,
1995,CHN,Zn,
1995,EU27,Ni,
1995,EU27,Sn,
1995,EU27,Zn,
1995,ROW,Ni,
1995,ROW,Sn,
1995,ROW,Zn,
1996,CHN,Ni,
1996,CHN,Sn,
1996,CHN,Zn,
1996,EU27,Ni,
1996,EU27,Sn,
1996,EU27,Zn,
1996,ROW,Ni,
1996,ROW,Sn,
1996,ROW,Zn,
1997,CHN,Ni,
1997,CHN,Sn,
1997,CHN,Zn,
1997,EU27,Ni,
1997,EU27,Sn,
1997,EU27,Zn,
1997,ROW,Ni,
1997,ROW,Sn,
1997,ROW,Zn,
1998,CHN,Ni,
1998,CHN,Sn,
1998,CHN,Zn,
1998,EU27,Ni,
1998,EU27,Sn,
1998,EU27,Zn,
1998,ROW,Ni,
1998,ROW,Sn,
1998,ROW,Zn,
1999,CHN,Ni,
1999,CHN,Sn,
1999,CHN,Zn,
1999,EU27,Ni,
1999,EU27,Sn,
1999,EU27,Zn,
1999,ROW,Ni,
1999,ROW,Sn,
1999,ROW,Zn,
2000,CHN,Ni,
2000,CHN,Sn,
2000,CHN,Zn,
2000,EU27,Ni,
2000,EU27,Sn,
2000,EU27,Zn,
2000,ROW,Ni,
2000,ROW,Sn,
2000,ROW,Zn,
2001,CHN,Ni,
2001,CHN,Sn,
2001,CHN,Zn,
2001,EU27,Ni,
2001,EU27,Sn,
2001,EU27,Zn,
2001,ROW,Ni,
2001,ROW,Sn,
2001,ROW,Zn,
2002,CHN,Ni,
2002,CHN,Sn,
2002,CHN,Zn,
2002,EU27,Ni,
2002,EU27,Sn,
2002,EU27,Zn,
2002,ROW,Ni,
2002,ROW,Sn,
2002,ROW,Zn,
2003,CHN,Ni,
2003,CHN,Sn,
2003,CHN,Zn,
2003,EU27,Ni,
2003,EU27,Sn,
2003,EU27,Zn,
2003,ROW,Ni,
2003,ROW,Sn,
2003,ROW,Zn,
2004,CHN,Ni,
2004,CHN,Sn,
2004,CHN,Zn,
2004,EU27,Ni,
2004,EU27,Sn,
2004,EU27,Zn,
2004,ROW,Ni,
2004,ROW,Sn,
2004,ROW,Zn,
2005,CHN,Ni,
2005,CHN,Sn,
2005,CHN,Zn,
2005,EU27,Ni,
2005,EU27,Sn,
2005,EU27,Zn,
2005,ROW,Ni,
2005,ROW,Sn,
2005,ROW,Zn,
2006,CHN,Ni,
2006,CHN,Sn,
2006,CHN,Zn,
2006,EU27,Ni,
2006,EU27,Sn,
2006,EU27,Zn,
2006,ROW,Ni,
2006,ROW,Sn,
2006,ROW,Zn,
2007,CHN,Ni,
2007,CHN,Sn,
2007,CHN,Zn,
2007,EU27,Ni,
2007,EU27,Sn,
2007,EU27,Zn,
2007,ROW,Ni,
2007,ROW,Sn,
2007,ROW,Zn,
2008,CHN,Ni,
2008,CHN,Sn,
2008,CHN,Zn,
2008,EU27,Ni,
2008,EU27,Sn,
2008,EU27,Zn,
2008,ROW,Ni,
2008,ROW,Sn,
2008,ROW,Zn,
2009,CHN,Ni,
2009,CHN,Sn,
2009,CHN,Zn,
2009,EU27,Ni,
2009,EU27,Sn,
2009,EU27,Zn,
2009,ROW,Ni,
2009,ROW,Sn,
2009,ROW,Zn,
2010,CHN,Ni,
2010,CHN,Sn,
2010,CHN,Zn,
2010,EU27,Ni,
2010,EU27,Sn,
2010,EU27,Zn,
2010,ROW,Ni,
2010,ROW,Sn,
2010,ROW,Zn,
2011,CHN,Ni,
2011,CHN,Sn,
2011,CHN,Zn,
2011,EU27,Ni,
2011,EU27,Sn,
2011,EU27,Zn,
2011,ROW,Ni,
2011,ROW,Sn,
2011,ROW,Zn,
2012,CHN,Ni,
2012,CHN,Sn,
2012,CHN,Zn,
2012,EU27,Ni,
2012,EU27,Sn,
2012,EU27,Zn,
2012,ROW,Ni,
2012,ROW,Sn,
2012,ROW,Zn,
2013,CHN,Ni,
2013,CHN,Sn,
2013,CHN,Zn,
2013,EU27,Ni,
2013,EU27,Sn,
2013,EU27,Zn,
2013,ROW,Ni,
2013,ROW,Sn,
2013,ROW,Zn,
2014,CHN,Ni,
2014,CHN,Sn,
2014,CHN,Zn,
2014,EU27,Ni,
2014,EU27,Sn,
2014,EU27,Zn,
2014,ROW,Ni,
2014,ROW,Sn,
2014,ROW,Zn,
2015,CHN,Ni,
2015,CHN,Sn,
2015,CHN,Zn,
2015,EU27,Ni,
2015,EU27,Sn,
2015,EU27,Zn,
2015,ROW,Ni,
2015,ROW,Sn,
2015,ROW,Zn,
2016,CHN,Ni,
2016,CHN,Sn,
2016,CHN,Zn,
2016,EU27,Ni,
2016,EU27,Sn,
2016,EU27,Zn,
2016,ROW,Ni,
2016,ROW,Sn,
2016,ROW,Zn,
2017,CHN,Ni,
2017,CHN,Sn,
2017,CHN,Zn,
2017,EU27,Ni,
2017,EU27,Sn,
2017,EU27,Zn,
2017,ROW,Ni,
2017,ROW,Sn,
2017,ROW,Zn,
2018,CHN,Ni,
2018,CHN,Sn,
2018,CHN,Zn,
2018,EU27,Ni,
2018,EU27,Sn,
2018,EU27,Zn,
2018,ROW,Ni,
2018,ROW,Sn,
2018,ROW,Zn,
2019,CHN,Ni,
2019,CHN,Sn,
2019,CHN,Zn,
2019,EU27,Ni,
2019,EU27,Sn,
2019,EU27,Zn,
2019,ROW,Ni,
2019,ROW,Sn,
2019,ROW,Zn,
2020,CHN,Ni,
2020,CHN,Sn,
2020,CHN,Zn,
2020,EU27,Ni,
2020,EU27,Sn,
2020,EU27,Zn,
2020,ROW,Ni,
2020,ROW,Sn,
2020,ROW,Zn,
2021,CHN,Ni,
2021,CHN,Sn,
2021,CHN,Zn,
2021,EU27,Ni,
2021,EU27,Sn,
2021,EU27,Zn,
2021,ROW,Ni,
2021,ROW,Sn,
2021,ROW,Zn,
2022,CHN,Ni,
2022,CHN,Sn,
2022,CHN,Zn,
2022,EU27,Ni,
2022,EU27,Sn,
2022,EU27,Zn,
2022,ROW,Ni,
2022,ROW,Sn,
2022,ROW,Zn,
2023,CHN,Ni,
2023,CHN,Sn,
2023,CHN,Zn,
2023,EU27,Ni,
2023,EU27,Sn,
2023,EU27,Zn,
2023,ROW,Ni,
2023,ROW,Sn,
2023,ROW,Zn,
2024,CHN,Ni,
2024,CHN,Sn,
2024,CHN,Zn,
2024,EU27,Ni,
2024,EU27,Sn,
2024,EU27,Zn,
2024,ROW,Ni,
2024,ROW,Sn,
2024,ROW,Zn,
2025,CHN,Ni,
2025,CHN,Sn,
2025,CHN,Zn,
2025,EU27,Ni,
2025,EU27,Sn,
2025,EU27,Zn,
2025,ROW,Ni,
2025,ROW,Sn,
2025,ROW,Zn,
2026,CHN,Ni,
2026,CHN,Sn,
2026,CHN,Zn,
2026,EU27,Ni,
2026,EU27,Sn,
2026,EU27,Zn,
2026,ROW,Ni,
2026,ROW,Sn,
2026,ROW,Zn,
2027,CHN,Ni,
2027,CHN,Sn,
2027,CHN,Zn,
2027,EU27,Ni,
2027,EU27,Sn,
2027,EU27,Zn,
2027,ROW,Ni,
2027,ROW,Sn,
2027,ROW,Zn,
2028,CHN,Ni,
2028,CHN,Sn,
2028,CHN,Zn,
2028,EU27,Ni,
2028,EU27,Sn,
2028,EU27,Zn,
2028,ROW,Ni,
2028,ROW,Sn,
2028,ROW,Zn,
2029,CHN,Ni,
2029,CHN,Sn,
2029,CHN,Zn,
2029,EU27,Ni,
2029,EU27,Sn,
2029,EU27,Zn,
2029,ROW,Ni,
2029,ROW,Sn,
2029,ROW,Zn,
2030,CHN,Ni,
2030,CHN,Sn,
2030,CHN,Zn,
2030,EU27,Ni,
2030,EU27,Sn,
2030,EU27,Zn,
2030,ROW,Ni,
2030,ROW,Sn,
2030,ROW,Zn,
2031,CHN,Ni,
2031,CHN,Sn,
2031,CHN,Zn,
2031,EU27,Ni,
2031,EU27,Sn,
2031,EU27,Zn,
2031,ROW,Ni,
2031,ROW,Sn,
2031,ROW,Zn,
2032,CHN,Ni,
2032,CHN,Sn,
2032,CHN,Zn,
2032,EU27,Ni,
2032,EU27,Sn,
2032,EU27,Zn,
2032,ROW,Ni,
2032,ROW,Sn,
2032,ROW,Zn,
2033,CHN,Ni,
2033,CHN,Sn,
2033,CHN,Zn,
2033,EU27,Ni,
2033,EU27,Sn,
2033,EU27,Zn,
2033,ROW,Ni,
2033,ROW,Sn,
2033,ROW,Zn,
2034,CHN,Ni,
2034,CHN,Sn,
2034,CHN,Zn,
2034,EU27,Ni,
2034,EU27,Sn,
2034,EU27,Zn,
2034,ROW,Ni,
2034,ROW,Sn,
2034,ROW,Zn,
2035,CHN,Ni,
2035,CHN,Sn,
2035,CHN,Zn,
2035,EU27,Ni,
2035,EU27,Sn,
2035,EU27,Zn,
2035,ROW,Ni,
2035,ROW,Sn,
2035,ROW,Zn,
2036,CHN,Ni,
2036,CHN,Sn,
2036,CHN,Zn,
2036,EU27,Ni,
2036,EU27,Sn,
2036,EU27,Zn,
2036,ROW,Ni,
2036,ROW,Sn,
2036,ROW,Zn,
2037,CHN,Ni,
2037,CHN,Sn,
2037,CHN,Zn,
2037,EU27,Ni,
2037,EU27,Sn,
2037,EU27,Zn,
2037,ROW,Ni,
2037,ROW,Sn,
2037,ROW,Zn,
2038,CHN,Ni,
2038,CHN,Sn,
2038,CHN,Zn,
2038,EU27,Ni,
2038,EU27,Sn,
2038,EU27,Zn,
2038,ROW,Ni,
2038,ROW,Sn,
2038,ROW,Zn,
2039,CHN,Ni,
2039,CHN,Sn,
2039,CHN,Zn,
2039,EU27,Ni,
2039,EU27,Sn,
2039,EU27,Zn,
2039,ROW,Ni,
2039,ROW,Sn,
2039,ROW,Zn,
2040,CHN,Ni,
2040,CHN,Sn,
2040,CHN,Zn,
2040,EU27,Ni,
2040,EU27,Sn,
2040,EU27,Zn,
2040,ROW,Ni,
2040,ROW,Sn,
2040,ROW,Zn,
2041,CHN,Ni,
2041,CHN,Sn,
2041,CHN,Zn,
2041,EU27,Ni,
2041,EU27,Sn,
2041,EU27,Zn,
2041,ROW,Ni,
2041,ROW,Sn,
2041,ROW,Zn,
2042,CHN,Ni,
2042,CHN,Sn,
2042,CHN,Zn,
2042,EU27,Ni,
2042,EU27,Sn,
2042,EU27,Zn,
2042,ROW,Ni,
2042,ROW,Sn,
2042,ROW,Zn,
2043,CHN,Ni,
2043,CHN,Sn,
2043,CHN,Zn,
2043,EU27,Ni,
2043,EU27,Sn,
2043,EU27,Zn,
2043,ROW,Ni,
2043,ROW,Sn,
2043,ROW,Zn,
2044,CHN,Ni,
2044,CHN,Sn,
2044,CHN,Zn,
2044,EU27,Ni,
2044,EU27,Sn,
2044,EU27,Zn,
2044,ROW,Ni,
2044,ROW,Sn,
2044,ROW,Zn,
2045,CHN,Ni,
2045,CHN,Sn,
2045,CHN,Zn,
2045,EU27,Ni,
2045,EU27,Sn,
2045,EU27,Zn,
2045,ROW,Ni,
2045,ROW,Sn,
2045,ROW,Zn,
2046,CHN,Ni,
2046,CHN,Sn,
2046,CHN,Zn,
2046,EU27,Ni,
2046,EU27,Sn,
2046,EU27,Zn,
2046,ROW,Ni,
2046,ROW,Sn,
2046,ROW,Zn,
2047,CHN,Ni,
2047,CHN,Sn,
2047,CHN,Zn,
2047,EU27,Ni,
2047,EU27,Sn,
2047,EU27,Zn,
2047,ROW,Ni,
2047,ROW,Sn,
2047,ROW,Zn,
2048,CHN,Ni,
2048,CHN,Sn,
2048,CHN,Zn,
2048,EU27,Ni,
2048,EU27,Sn,
2048,EU27,Zn,
2048,ROW,Ni,
2048,ROW,Sn,
2048,ROW,Zn,
2049,CHN,Ni,
2049,CHN,Sn,
2049,CHN,Zn,
2049,EU27,Ni,
2049,EU27,Sn,
2049,EU27,Zn,
2049,ROW,Ni,
2049,ROW,Sn,
2049,ROW,Zn,
2050,CHN,Ni,
2050,CHN,Sn,
2050,CHN,Zn,
2050,EU27,Ni,
2050,EU27,Sn,
2050,EU27,Zn,
2050,ROW,Ni,
2050,ROW,Sn,
2050,ROW,Zn,
2051,CHN,Ni,
2051,CHN,Sn,
2051,CHN,Zn,
2051,EU27,Ni,
2051,EU27,Sn,
2051,EU27,Zn,
2051,ROW,Ni,
2051,ROW,Sn,
2051,ROW,Zn,
2052,CHN,Ni,
2052,CHN,Sn,
2052,CHN,Zn,
2052,EU27,Ni,
2052,EU27,Sn,
2052,EU27,Zn,
2052,ROW,Ni,
2052,ROW,Sn,
2052,ROW,Zn,
2053,CHN,Ni,
2053,CHN,Sn,
2053,CHN,Zn,
2053,EU27,Ni,
2053,EU27,Sn,
2053,EU27,Zn,
2053,ROW,Ni,
2053,ROW,Sn,
2053,ROW,Zn,
2054,CHN,Ni,
2054,CHN,Sn,
2054,CHN,Zn,
2054,EU27,Ni,
2054,EU27,Sn,
2054,EU27,Zn,
2054,ROW,Ni,
2054,ROW,Sn,
2054,ROW,Zn,
2055,CHN,Ni,
2055,CHN,Sn,
2055,CHN,Zn,
2055,EU27,Ni,
2055,EU27,Sn,
2055,EU27,Zn,
2055,ROW,Ni,
2055,ROW,Sn,
2055,ROW,Zn,
2056,CHN,Ni,
2056,CHN,Sn,
2056,CHN,Zn,
2056,EU27,Ni,
2056,EU27,Sn,
2056,EU27,Zn,
2056,ROW,Ni,
2056,ROW,Sn,
2056,ROW,Zn,
2057,CHN,Ni,
2057,CHN,Sn,
2057,CHN,Zn,
2057,EU27,Ni,
2057,EU27,Sn,
2057,EU27,Zn,
2057,ROW,Ni,
2057,ROW,Sn,
2057,ROW,Zn,
2058,CHN,Ni,
2058,CHN,Sn,
2058,CHN,Zn,
2058,EU27,Ni,
2058,EU27,Sn,
2058,EU27,Zn,
2058,ROW,Ni,
2058,ROW,Sn,
2058,ROW,Zn,
2059,CHN,Ni,
2059,CHN,Sn,
2059,CHN,Zn,
2059,EU27,Ni,
2059,EU27,Sn,
2059,EU27,Zn,
2059,ROW,Ni,
2059,ROW,Sn,
2059,ROW,Zn,
2060,CHN,Ni,
2060,CHN,Sn,
2060,CHN,Zn,
2060,EU27,Ni,
2060,EU27,Sn,
2060,EU27,Zn,
2060,ROW,Ni,
2060,ROW,Sn,
2060,ROW,Zn,
2061,CHN,Ni,
2061,CHN,Sn,
2061,CHN,Zn,
2061,EU27,Ni,
2061,EU27,Sn,
2061,EU27,Zn,
2061,ROW,Ni,
2061,ROW,Sn,
2061,ROW,Zn,
2062,CHN,Ni,
2062,CHN,Sn,
2062,CHN,Zn,
2062,EU27,Ni,
2062,EU27,Sn,
2062,EU27,Zn,
2062,ROW,Ni,
2062,ROW,Sn,
2062,ROW,Zn,
2063,CHN,Ni,
2063,CHN,Sn,
2063,CHN,Zn,
2063,EU27,Ni,
2063,EU27,Sn,
2063,EU27,Zn,
2063,ROW,Ni,
2063,ROW,Sn,
2063,ROW,Zn,
2064,CHN,Ni,
2064,CHN,Sn,
2064,CHN,Zn,
2064,EU27,Ni,
2064,EU27,Sn,
2064,EU27,Zn,
2064,ROW,Ni,
2064,ROW,Sn,
2064,ROW,Zn,
2065,CHN,Ni,
2065,CHN,Sn,
2065,CHN,Zn,
2065,EU27,Ni,
2065,EU27,Sn,
2065,EU27,Zn,
2065,ROW,Ni,
2065,ROW,Sn,
2065,ROW,Zn,
2066,CHN,Ni,
2066,CHN,Sn,
2066,CHN,Zn,
2066,EU27,Ni,
2066,EU27,Sn,
2066,EU27,Zn,
2066,ROW,Ni,
2066,ROW,Sn,
2066,ROW,Zn,
2067,CHN,Ni,
2067,CHN,Sn,
2067,CHN,Zn,
2067,EU27,Ni,
2067,EU27,Sn,
2067,EU27,Zn,
2067,ROW,Ni,
2067,ROW,Sn,
2067,ROW,Zn,
2068,CHN,Ni,
2068,CHN,Sn,
2068,CHN,Zn,
2068,EU27,Ni,
2068,EU27,Sn,
2068,EU27,Zn,
2068,ROW,Ni,
2068,ROW,Sn,
2068,ROW,Zn,
2069,CHN,Ni,
2069,CHN,Sn,
2069,CHN,Zn,
2069,EU27,Ni,
2069,EU27,Sn,
2069,EU27,Zn,
2069,ROW,Ni,
2069,ROW,Sn,
2069,ROW,Zn,
2070,CHN,Ni,
2070,CHN,Sn,
2070,CHN,Zn,
2070,EU27,Ni,
2070,EU27,Sn,
2070,EU27,Zn,
2070,ROW,Ni,
2070,ROW,Sn,
2070,ROW,Zn,
2071,CHN,Ni,
2071,CHN,Sn,
2071,CHN,Zn,
2071,EU27,Ni,
2071,EU27,Sn,
2071,EU27,Zn,
2071,ROW,Ni,
2071,ROW,Sn,
2071,ROW,Zn,
2072,CHN,Ni,
2072,CHN,Sn,
2072,CHN,Zn,
2072,EU27,Ni,
2072,EU27,Sn,
2072,EU27,Zn,
2072,ROW,Ni,
2072,ROW,Sn,
2072,ROW,Zn,
2073,CHN,Ni,
2073,CHN,Sn,
2073,CHN,Zn,
2073,EU27,Ni,
2073,EU27,Sn,
2073,EU27,Zn,
2073,ROW,Ni,
2073,ROW,Sn,
2073,ROW,Zn,
2074,CHN,Ni,
2074,CHN,Sn,
2074,CHN,Zn,
2074,EU27,Ni,
2074,EU27,Sn,
2074,EU27,Zn,
2074,ROW,Ni,
2074,ROW,Sn,
2074,ROW,Zn,
2075,CHN,Ni,
2075,CHN,Sn,
2075,CHN,Zn,
2075,EU27,Ni,
2075,EU27,Sn,
2075,EU27,Zn,
2075,ROW,Ni,
2075,ROW,Sn,
2075,ROW,Zn,
2076,CHN,Ni,
2076,CHN,Sn,
2076,CHN,Zn,
2076,EU27,Ni,
2076,EU27,Sn,
2076,EU27,Zn,
2076,ROW,Ni,
2076,ROW,Sn,
2076,ROW,Zn,
2077,CHN,Ni,
2077,CHN,Sn,
2077,CHN,Zn,
2077,EU27,Ni,
2077,EU27,Sn,
2077,EU27,Zn,
2077,ROW,Ni,
2077,ROW,Sn,
2077,ROW,Zn,
2078,CHN,Ni,
2078,CHN,Sn,
2078,CHN,Zn,
2078,EU27,Ni,
2078,EU27,Sn,
2078,EU27,Zn,
2078,ROW,Ni,
