t,r,m,c,value
1825,EU27,Sn,refined_metal,0.0
1825,EU27,Sn,scrap,3.19404577627853
1825,CHN,Zn,concentrate,0.0
1825,CHN,Zn,refined_metal,3.649586954575094
1825,CHN,Zn,scrap,1.6383375359874104
1825,CHN,Ni,concentrate,0.0
1825,CHN,Ni,refined_metal,0.0
1825,CHN,Ni,scrap,0.006961700687555676
1825,CHN,Sn,concentrate,0.0
1825,CHN,Sn,refined_metal,3.958453203073316
1825,CHN,Sn,scrap,0.43193883887168316
1825,ROW,Zn,concentrate,0.0
1825,ROW,Zn,refined_metal,117.30223125553715
1825,ROW,Zn,scrap,13.71332025532731
1825,ROW,Ni,concentrate,0.0
1825,ROW,Ni,refined_metal,0.026414900966973937
1825,ROW,Ni,scrap,0.37791887750427433
1825,ROW,Sn,concentrate,0.0
1825,ROW,Sn,refined_metal,40.32895010214639
1825,ROW,Sn,scrap,3.634426246749322
1826,EU27,Zn,concentrate,0.0
1826,EU27,Zn,refined_metal,0.0
1826,EU27,Zn,scrap,18.497012193087635
1826,EU27,Ni,concentrate,0.0
1826,EU27,Ni,refined_metal,0.0
1826,EU27,Ni,scrap,1.7047099543340958
1826,EU27,Sn,concentrate,0.0
1826,EU27,Sn,refined_metal,0.0
1826,EU27,Sn,scrap,4.1684897547469015
1826,CHN,Zn,concentrate,0.0
1826,CHN,Zn,refined_metal,4.3133499025550694
1826,CHN,Zn,scrap,2.4042990635569046
1826,CHN,Ni,concentrate,0.0
1826,CHN,Ni,refined_metal,0.0
1826,CHN,Ni,scrap,0.008827964841282778
1826,CHN,Sn,concentrate,0.0
1826,CHN,Sn,refined_metal,4.642634055144954
1826,CHN,Sn,scrap,0.5391628922278835
1826,ROW,Zn,concentrate,0.0
1826,ROW,Zn,refined_metal,137.94413154642922
1826,ROW,Zn,scrap,17.38169271058291
1826,ROW,Ni,concentrate,0.0
1826,ROW,Ni,refined_metal,0.030768734148721024
1826,ROW,Ni,scrap,0.536732598056513
1826,ROW,Sn,concentrate,0.0
1826,ROW,Sn,refined_metal,47.21248739366539
1826,ROW,Sn,scrap,4.644983356538672
1827,EU27,Zn,concentrate,0.0
1827,EU27,Zn,refined_metal,0.0
1827,EU27,Zn,scrap,23.67999559535448
1827,EU27,Ni,concentrate,0.0
1827,EU27,Ni,refined_metal,0.0
1827,EU27,Ni,scrap,1.9161568103916649
1827,EU27,Sn,concentrate,0.0
1827,EU27,Sn,refined_metal,0.0
1827,EU27,Sn,scrap,5.302683949882489
1827,CHN,Zn,concentrate,0.0
1827,CHN,Zn,refined_metal,4.9932658514177115
1827,CHN,Zn,scrap,3.3549818767929502
1827,CHN,Ni,concentrate,0.0
1827,CHN,Ni,refined_metal,0.0
1827,CHN,Ni,scrap,0.010823058192412537
1827,CHN,Sn,concentrate,0.0
1827,CHN,Sn,refined_metal,5.299502689280656
1827,CHN,Sn,scrap,0.6478614380523
1827,ROW,Zn,concentrate,0.0
1827,ROW,Zn,refined_metal,158.92391749902077
1827,ROW,Zn,scrap,21.251816387521448
1827,ROW,Ni,concentrate,0.0
1827,ROW,Ni,refined_metal,0.03488096838827846
