t,r,m,p,value
1820,CHN,Ni,beneficiation_concentration,
1820,CHN,Ni,collection,
1820,CHN,Ni,environment,
1820,CHN,Ni,fabrication_and_manufacturing,
1820,CHN,Ni,primary_extraction,
1820,CHN,Ni,recycling_refining_secondary,
1820,CHN,Ni,refining_primary,
1820,CHN,Ni,residue_treatment_disposal,
1820,CHN,Ni,sorting_preprocessing,
1820,CHN,Ni,use_phase,
1820,CHN,Sn,beneficiation_concentration,
1820,CHN,Sn,collection,
1820,CHN,Sn,environment,
1820,CHN,Sn,fabrication_and_manufacturing,
1820,CHN,Sn,primary_extraction,
1820,CHN,Sn,recycling_refining_secondary,
1820,CHN,Sn,refining_primary,
1820,CHN,Sn,residue_treatment_disposal,
1820,CHN,Sn,sorting_preprocessing,
1820,CHN,Sn,use_phase,
1820,CHN,Zn,beneficiation_concentration,
1820,CHN,Zn,collection,
1820,CHN,Zn,environment,
1820,CHN,Zn,fabrication_and_manufacturing,
1820,CHN,Zn,primary_extraction,
1820,CHN,Zn,recycling_refining_secondary,
1820,CHN,Zn,refining_primary,
1820,CHN,Zn,residue_treatment_disposal,
1820,CHN,Zn,sorting_preprocessing,
1820,CHN,Zn,use_phase,
1820,EU27,Ni,beneficiation_concentration,
1820,EU27,Ni,collection,
1820,EU27,Ni,environment,
1820,EU27,Ni,fabrication_and_manufacturing,
1820,EU27,Ni,primary_extraction,
1820,EU27,Ni,recycling_refining_secondary,
1820,EU27,Ni,refining_primary,
1820,EU27,Ni,residue_treatment_disposal,
1820,EU27,Ni,sorting_preprocessing,
1820,EU27,Ni,use_phase,
1820,EU27,Sn,beneficiation_concentration,
1820,EU27,Sn,collection,
1820,EU27,Sn,environment,
1820,EU27,Sn,fabrication_and_manufacturing,
1820,EU27,Sn,primary_extraction,
1820,EU27,Sn,recycling_refining_secondary,
1820,EU27,Sn,refining_primary,
1820,EU27,Sn,residue_treatment_disposal,
1820,EU27,Sn,sorting_preprocessing,
1820,EU27,Sn,use_phase,
1820,EU27,Zn,beneficiation_concentration,
1820,EU27,Zn,collection,
1820,EU27,Zn,environment,
1820,EU27,Zn,fabrication_and_manufacturing,
1820,EU27,Zn,primary_extraction,
1820,EU27,Zn,recycling_refining_secondary,
1820,EU27,Zn,refining_primary,
1820,EU27,Zn,residue_treatment_disposal,
1820,EU27,Zn,sorting_preprocessing,
1820,EU27,Zn,use_phase,
1820,ROW,Ni,beneficiation_concentration,
1820,ROW,Ni,collection,
1820,ROW,Ni,environment,
1820,ROW,Ni,fabrication_and_manufacturing,
1820,ROW,Ni,primary_extraction,
1820,ROW,Ni,recycling_refining_secondary,
1820,ROW,Ni,refining_primary,
1820,ROW,Ni,residue_treatment_disposal,
1820,ROW,Ni,sorting_preprocessing,
1820,ROW,Ni,use_phase,
1820,ROW,Sn,beneficiation_concentration,
1820,ROW,Sn,collection,
1820,ROW,Sn,environment,
1820,ROW,Sn,fabrication_and_manufacturing,
1820,ROW,Sn,primary_extraction,
1820,ROW,Sn,recycling_refining_secondary,
1820,ROW,Sn,refining_primary,
1820,ROW,Sn,residue_treatment_disposal,
1820,ROW,Sn,sorting_preprocessing,
1820,ROW,Sn,use_phase,
1820,ROW,Zn,beneficiation_concentration,
1820,ROW,Zn,collection,
1820,ROW,Zn,environment,
1820,ROW,Zn,fabrication_and_manufacturing,
1820,ROW,Zn,primary_extraction,
1820,ROW,Zn,recycling_refining_secondary,
