t,i,m,c,value
1822,EU27,Ni,scrap,1.0
1822,EU27,Sn,concentrate,1.0
1822,EU27,Sn,refined_metal,1.0
1822,EU27,Sn,scrap,1.0
1822,EU27,Zn,concentrate,1.0
1822,EU27,Zn,refined_metal,1.0
1822,EU27,Zn,scrap,1.0
1822,ROW,Ni,concentrate,1.0
1822,ROW,Ni,refined_metal,1.0
1822,ROW,Ni,scrap,1.0
1822,ROW,Sn,concentrate,1.0
1822,ROW,Sn,refined_metal,1.0
1822,ROW,Sn,scrap,1.0
1822,ROW,Zn,concentrate,1.0
1822,ROW,Zn,refined_metal,1.0
1822,ROW,Zn,scrap,1.0
1823,CHN,Ni,concentrate,1.0
1823,CHN,Ni,refined_metal,1.0
1823,CHN,Ni,scrap,1.0
1823,CHN,Sn,concentrate,1.0
1823,CHN,Sn,refined_metal,1.0
1823,CHN,Sn,scrap,1.0
1823,CHN,Zn,concentrate,1.0
1823,CHN,Zn,refined_metal,1.0
1823,CHN,Zn,scrap,1.0
1823,EU27,Ni,concentrate,1.0
1823,EU27,Ni,refined_metal,1.0
1823,EU27,Ni,scrap,1.0
1823,EU27,Sn,concentrate,1.0
1823,EU27,Sn,refined_metal,1.0
1823,EU27,Sn,scrap,1.0
1823,EU27,Zn,concentrate,1.0
1823,EU27,Zn,refined_metal,1.0
1823,EU27,Zn,scrap,1.0
1823,ROW,Ni,concentrate,1.0
1823,ROW,Ni,refined_metal,1.0
1823,ROW,Ni,scrap,1.0
1823,ROW,Sn,concentrate,1.0
1823,ROW,Sn,refined_metal,1.0
1823,ROW,Sn,scrap,1.0
1823,ROW,Zn,concentrate,1.0
1823,ROW,Zn,refined_metal,1.0
1823,ROW,Zn,scrap,1.0
1824,CHN,Ni,concentrate,1.0
1824,CHN,Ni,refined_metal,1.0
1824,CHN,Ni,scrap,1.0
1824,CHN,Sn,concentrate,1.0
1824,CHN,Sn,refined_metal,1.0
1824,CHN,Sn,scrap,1.0
1824,CHN,Zn,concentrate,1.0
1824,CHN,Zn,refined_metal,1.0
1824,CHN,Zn,scrap,1.0
1824,EU27,Ni,concentrate,1.0
1824,EU27,Ni,refined_metal,1.0
1824,EU27,Ni,scrap,1.0
1824,EU27,Sn,concentrate,1.0
1824,EU27,Sn,refined_metal,1.0
1824,EU27,Sn,scrap,1.0
1824,EU27,Zn,concentrate,1.0
1824,EU27,Zn,refined_metal,1.0
1824,EU27,Zn,scrap,1.0
1824,ROW,Ni,concentrate,1.0
1824,ROW,Ni,refined_metal,1.0
1824,ROW,Ni,scrap,1.0
1824,ROW,Sn,concentrate,1.0
1824,ROW,Sn,refined_metal,1.0
1824,ROW,Sn,scrap,1.0
1824,ROW,Zn,concentrate,1.0
1824,ROW,Zn,refined_metal,1.0
1824,ROW,Zn,scrap,1.0
1825,CHN,Ni,concentrate,1.0
1825,CHN,Ni,refined_metal,1.0
1825,CHN,Ni,scrap,1.0
1825,CHN,Sn,concentrate,1.0
1825,CHN,Sn,refined_metal,1.0
1825,CHN,Sn,scrap,1.0
1825,CHN,Zn,concentrate,1.0
1825,CHN,Zn,refined_metal,1.0
1825,CHN,Zn,scrap,1.0
1825,EU27,Ni,concentrate,1.0
1825,EU27,Ni,refined_metal,1.0
1825,EU27,Ni,scrap,1.0
1825,EU27,Sn,concentrate,1.0
1825,EU27,Sn,refined_metal,1.0
1825,EU27,Sn,scrap,1.0
1825,EU27,Zn,concentrate,1.0
1825,EU27,Zn,refined_metal,1.0
1825,EU27,Zn,scrap,1.0
1825,ROW,Ni,concentrate,1.0
1825,ROW,Ni,refined_metal,1.0
1825,ROW,Ni,scrap,1.0
1825,ROW,Sn,concentrate,1.0
1825,ROW,Sn,refined_metal,1.0
1825,ROW,Sn,scrap,1.0
1825,ROW,Zn,concentrate,1.0
1825,ROW,Zn,refined_metal,1.0
1825,ROW,Zn,scrap,1.0
1826,CHN,Ni,concentrate,1.0
1826,CHN,Ni,refined_metal,1.0
