t,r,m,p,value
1820,EU27,Zn,primary_extraction,76.64994115737109
1820,EU27,Zn,beneficiation_concentration,76.64994115737109
1820,EU27,Zn,refining_primary,136.54426712531583
1820,EU27,Zn,fabrication_and_manufacturing,226.81526712531587
1820,EU27,Zn,use_phase,226.81526712531587
1820,EU27,Zn,collection,170.11145034398692
1820,EU27,Zn,sorting_preprocessing,153.10030530958824
1820,EU27,Zn,recycling_refining_secondary,124.74839691892376
1820,EU27,Zn,residue_treatment_disposal,45.36305342506317
1820,EU27,Zn,environment,22.681526712531586
1820,EU27,Ni,primary_extraction,0.2714468091349379
1820,EU27,Ni,beneficiation_concentration,0.2714468091349379
1820,EU27,Ni,refining_primary,0.0309666666666666
1820,EU27,Ni,fabrication_and_manufacturing,71.47196666666667
1820,EU27,Ni,use_phase,71.47196666666667
1820,EU27,Ni,collection,53.603975000000005
1820,EU27,Ni,sorting_preprocessing,48.24357750000001
1820,EU27,Ni,recycling_refining_secondary,46.45677833333334
1820,EU27,Ni,residue_treatment_disposal,7.147196666666666
1820,EU27,Ni,environment,3.573598333333333
1820,EU27,Sn,primary_extraction,0.5805354933961135
1820,EU27,Sn,beneficiation_concentration,0.5805354933961135
1820,EU27,Sn,refining_primary,5.102870809175962
1820,EU27,Sn,fabrication_and_manufacturing,45.753870809175964
1820,EU27,Sn,use_phase,45.753870809175964
1820,EU27,Sn,collection,34.31540310688197
1820,EU27,Sn,sorting_preprocessing,30.883862796193775
1820,EU27,Sn,recycling_refining_secondary,13.72616124275279
1820,EU27,Sn,residue_treatment_disposal,20.589241864129185
1820,EU27,Sn,environment,10.294620932064593
1820,CHN,Zn,primary_extraction,9.74912420193701
1820,CHN,Zn,beneficiation_concentration,9.74912420193701
1820,CHN,Zn,refining_primary,10.130413063338512
1820,CHN,Zn,fabrication_and_manufacturing,6.330413063338512
1820,CHN,Zn,use_phase,6.330413063338512
1820,CHN,Zn,collection,3.481727184836182
1820,CHN,Zn,sorting_preprocessing,3.133554466352564
1820,CHN,Zn,recycling_refining_secondary,2.8486858785023306
1820,CHN,Zn,residue_treatment_disposal,0.6330413063338516
1820,CHN,Zn,environment,0.3165206531669258
1820,CHN,Ni,primary_extraction,0.0
1820,CHN,Ni,beneficiation_concentration,0.0
1820,CHN,Ni,refining_primary,0.0309666666666666
1820,CHN,Ni,fabrication_and_manufacturing,0.1399666666666666
1820,CHN,Ni,use_phase,0.1399666666666666
1820,CHN,Ni,collection,0.0769816666666666
1820,CHN,Ni,sorting_preprocessing,0.0692835
1820,CHN,Ni,recycling_refining_secondary,0.0769816666666666
1820,CHN,Ni,residue_treatment_disposal,0.0
1820,CHN,Ni,environment,0.0
1820,CHN,Sn,primary_extraction,2.1068592633973107
1820,CHN,Sn,beneficiation_concentration,2.1068592633973107
1820,CHN,Sn,refining_primary,9.565245291481174
1820,CHN,Sn,fabrication_and_manufacturing,5.154245291481175
1820,CHN,Sn,use_phase,5.154245291481175
1820,CHN,Sn,collection,2.834834910314646
1820,CHN,Sn,sorting_preprocessing,2.5513514192831814
1820,CHN,Sn,recycling_refining_secondary,1.2885613228702937
1820,CHN,Sn,residue_treatment_disposal,1.5462735874443525
1820,CHN,Sn,environment,0.7731367937221763
1820,ROW,Zn,primary_extraction,392.60093464069183
1820,ROW,Zn,beneficiation_concentration,392.60093464069183
1820,ROW,Zn,refining_primary,307.23833936672565
1820,ROW,Zn,fabrication_and_manufacturing,179.92433936672546
1820,ROW,Zn,use_phase,179.92433936672546
1820,ROW,Zn,collection,71.96973574669019
1820,ROW,Zn,sorting_preprocessing,64.77276217202117
1820,ROW,Zn,recycling_refining_secondary,62.973518778353906
1820,ROW,Zn,residue_treatment_disposal,8.996216968336284
1820,ROW,Zn,environment,4.498108484168142
1820,ROW,Ni,primary_extraction,9.01855319086506
1820,ROW,Ni,beneficiation_concentration,9.01855319086506
1820,ROW,Ni,refining_primary,0.0309666666666666
1820,ROW,Ni,fabrication_and_manufacturing,0.0
1820,ROW,Ni,use_phase,0.0
1820,ROW,Ni,collection,0.0
1820,ROW,Ni,sorting_preprocessing,0.0
1820,ROW,Ni,recycling_refining_secondary,0.0
1820,ROW,Ni,residue_treatment_disposal,0.0
1820,ROW,Ni,environment,0.0
1820,ROW,Sn,primary_extraction,90.91260524320656
1820,ROW,Sn,beneficiation_concentration,90.91260524320656
1820,ROW,Sn,refining_primary,80.60444653301941
1820,ROW,Sn,fabrication_and_manufacturing,34.88044653301941
1820,ROW,Sn,use_phase,34.88044653301941
1820,ROW,Sn,collection,13.952178613207764
1820,ROW,Sn,sorting_preprocessing,12.556960751886988
1820,ROW,Sn,recycling_refining_secondary,6.976089306603882
1820,ROW,Sn,residue_treatment_disposal,6.976089306603882
1820,ROW,Sn,environment,3.488044653301941
1821,EU27,Zn,primary_extraction,76.64994115737109
1821,EU27,Zn,beneficiation_concentration,76.64994115737109
1821,EU27,Zn,refining_primary,136.54426712531583
1821,EU27,Zn,fabrication_and_manufacturing,226.81526712531587
1821,EU27,Zn,use_phase,226.81526712531587
1821,EU27,Zn,collection,170.11145034398692
1821,EU27,Zn,sorting_preprocessing,153.10030530958824
1821,EU27,Zn,recycling_refining_secondary,124.74839691892376
1821,EU27,Zn,residue_treatment_disposal,45.36305342506317
1821,EU27,Zn,environment,22.681526712531586
1821,EU27,Ni,primary_extraction,0.2714468091349379
1821,EU27,Ni,beneficiation_concentration,0.2714468091349379
1821,EU27,Ni,refining_primary,0.0309666666666666
1821,EU27,Ni,fabrication_and_manufacturing,71.47196666666667
1821,EU27,Ni,use_phase,71.47196666666667
1821,EU27,Ni,collection,53.603975000000005
1821,EU27,Ni,sorting_preprocessing,48.24357750000001
1821,EU27,Ni,recycling_refining_secondary,46.45677833333334
1821,EU27,Ni,residue_treatment_disposal,7.147196666666666
1821,EU27,Ni,environment,3.573598333333333
1821,EU27,Sn,primary_extraction,0.5805354933961135
1821,EU27,Sn,beneficiation_concentration,0.5805354933961135
1821,EU27,Sn,refining_primary,5.102870809175962
1821,EU27,Sn,fabrication_and_manufacturing,45.753870809175964
1821,EU27,Sn,use_phase,45.753870809175964
1821,EU27,Sn,collection,34.31540310688197
1821,EU27,Sn,sorting_preprocessing,30.883862796193775
1821,EU27,Sn,recycling_refining_secondary,13.72616124275279
1821,EU27,Sn,residue_treatment_disposal,20.589241864129185
1821,EU27,Sn,environment,10.294620932064593
1821,CHN,Zn,primary_extraction,9.74912420193701
1821,CHN,Zn,beneficiation_concentration,9.74912420193701
1821,CHN,Zn,refining_primary,10.130413063338512
1821,CHN,Zn,fabrication_and_manufacturing,6.330413063338512
1821,CHN,Zn,use_phase,6.330413063338512
1821,CHN,Zn,collection,3.481727184836182
1821,CHN,Zn,sorting_preprocessing,3.133554466352564
1821,CHN,Zn,recycling_refining_secondary,2.8486858785023306
1821,CHN,Zn,residue_treatment_disposal,0.6330413063338516
1821,CHN,Zn,environment,0.3165206531669258
1821,CHN,Ni,primary_extraction,0.0
1821,CHN,Ni,beneficiation_concentration,0.0
1821,CHN,Ni,refining_primary,0.0309666666666666
1821,CHN,Ni,fabrication_and_manufacturing,0.1399666666666666
1821,CHN,Ni,use_phase,0.1399666666666666
1821,CHN,Ni,collection,0.0769816666666666
1821,CHN,Ni,sorting_preprocessing,0.0692835
1821,CHN,Ni,recycling_refining_secondary,0.0769816666666666
1821,CHN,Ni,residue_treatment_disposal,0.0
1821,CHN,Ni,environment,0.0
1821,CHN,Sn,primary_extraction,2.1068592633973107
1821,CHN,Sn,beneficiation_concentration,2.1068592633973107
1821,CHN,Sn,refining_primary,9.565245291481174
1821,CHN,Sn,fabrication_and_manufacturing,5.154245291481175
1821,CHN,Sn,use_phase,5.154245291481175
1821,CHN,Sn,collection,2.834834910314646
1821,CHN,Sn,sorting_preprocessing,2.5513514192831814
1821,CHN,Sn,recycling_refining_secondary,1.2885613228702937
1821,CHN,Sn,residue_treatment_disposal,1.5462735874443525
1821,CHN,Sn,environment,0.7731367937221763
1821,ROW,Zn,primary_extraction,392.60093464069183
1821,ROW,Zn,beneficiation_concentration,392.60093464069183
1821,ROW,Zn,refining_primary,307.23833936672565
1821,ROW,Zn,fabrication_and_manufacturing,179.92433936672546
1821,ROW,Zn,use_phase,179.92433936672546
1821,ROW,Zn,collection,71.96973574669019
1821,ROW,Zn,sorting_preprocessing,64.77276217202117
1821,ROW,Zn,recycling_refining_secondary,62.973518778353906
