t,r,m,c,value
1825,CHN,Zn,refined_metal,1.0544089744949199
1825,CHN,Zn,scrap,1.6383375359874104
1825,EU27,Ni,concentrate,0.0
1825,EU27,Ni,refined_metal,0.0
1825,EU27,Ni,scrap,1.4777936775572822
1825,EU27,Sn,concentrate,0.0
1825,EU27,Sn,refined_metal,0.0
1825,EU27,Sn,scrap,3.1940457762785295
1825,EU27,Zn,concentrate,0.0
1825,EU27,Zn,refined_metal,0.0
1825,EU27,Zn,scrap,13.957824044902171
1825,ROW,Ni,concentrate,0.0
1825,ROW,Ni,refined_metal,0.00909570358807543
1825,ROW,Ni,scrap,0.37791887750427433
1825,ROW,Sn,concentrate,0.0
1825,ROW,Sn,refined_metal,12.180910366984575
1825,ROW,Sn,scrap,3.634426246749322
1825,ROW,Zn,concentrate,0.0
1825,ROW,Zn,refined_metal,33.890006431842075
1825,ROW,Zn,scrap,13.71332025532731
1826,CHN,Ni,concentrate,0.0
1826,CHN,Ni,refined_metal,0.0
1826,CHN,Ni,scrap,0.008827964841282778
1826,CHN,Sn,concentrate,0.0
1826,CHN,Sn,refined_metal,1.4022559265538879
1826,CHN,Sn,scrap,0.5391628922278835
1826,CHN,Zn,concentrate,0.0
1826,CHN,Zn,refined_metal,0.8993347681975339
1826,CHN,Zn,scrap,2.4042990635569046
1826,EU27,Ni,concentrate,0.0
1826,EU27,Ni,refined_metal,0.0
1826,EU27,Ni,scrap,1.7047099543340958
1826,EU27,Sn,concentrate,0.0
1826,EU27,Sn,refined_metal,0.0
1826,EU27,Sn,scrap,4.1684897547469015
1826,EU27,Zn,concentrate,0.0
1826,EU27,Zn,refined_metal,0.0
1826,EU27,Zn,scrap,18.497012193087635
1826,ROW,Ni,concentrate,0.0
1826,ROW,Ni,refined_metal,0.010594901943678257
1826,ROW,Ni,scrap,0.536732598056513
1826,ROW,Sn,concentrate,0.0
1826,ROW,Sn,refined_metal,14.260006166488816
1826,ROW,Sn,scrap,4.644983356538672
1826,ROW,Zn,concentrate,0.0
1826,ROW,Zn,refined_metal,28.761393434608834
1826,ROW,Zn,scrap,17.38169271058291
1827,CHN,Ni,concentrate,0.0
1827,CHN,Ni,refined_metal,0.0
1827,CHN,Ni,scrap,0.010823058192412537
1827,CHN,Sn,concentrate,0.0
1827,CHN,Sn,refined_metal,1.6006557841010034
1827,CHN,Sn,scrap,0.6478614380523
1827,CHN,Zn,concentrate,0.0
1827,CHN,Zn,refined_metal,0.9758853557003169
1827,CHN,Zn,scrap,3.3549818767929507
1827,EU27,Ni,concentrate,0.0
1827,EU27,Ni,refined_metal,0.0
1827,EU27,Ni,scrap,1.9161568103916649
1827,EU27,Sn,concentrate,0.0
1827,EU27,Sn,refined_metal,0.0
1827,EU27,Sn,scrap,5.302683949882489
1827,EU27,Zn,concentrate,0.0
1827,EU27,Zn,refined_metal,0.0
1827,EU27,Zn,scrap,23.67999559535448
1827,ROW,Ni,concentrate,0.0
1827,ROW,Ni,refined_metal,0.012010908150724586
1827,ROW,Ni,scrap,0.7208827739324994
1827,ROW,Sn,concentrate,0.0
1827,ROW,Sn,refined_metal,16.24777993910071
1827,ROW,Sn,scrap,5.719019102835611
1827,ROW,Zn,concentrate,0.0
1827,ROW,Zn,refined_metal,31.060137467702702
1827,ROW,Zn,scrap,21.251816387521448
1828,CHN,Ni,concentrate,0.0
1828,CHN,Ni,refined_metal,0.0
1828,CHN,Ni,scrap,0.01292090473158573
1828,CHN,Sn,concentrate,0.0
1828,CHN,Sn,refined_metal,1.789910711586245
1828,CHN,Sn,scrap,0.7560818595953301
1828,CHN,Zn,concentrate,0.0
