t,r,m,value
1843,CHN,Sn,0.55
1843,ROW,Zn,0.4
1843,ROW,Ni,0.4
1843,ROW,Sn,0.4
1844,EU27,Zn,0.75
1844,EU27,Ni,0.75
1844,EU27,Sn,0.75
1844,CHN,Zn,0.55
1844,CHN,Ni,0.55
1844,CHN,Sn,0.55
1844,ROW,Zn,0.4
1844,ROW,Ni,0.4
1844,ROW,Sn,0.4
1845,EU27,Zn,0.75
1845,EU27,Ni,0.75
1845,EU27,Sn,0.75
1845,CHN,Zn,0.55
1845,CHN,Ni,0.55
1845,CHN,Sn,0.55
1845,ROW,Zn,0.4
1845,ROW,Ni,0.4
1845,ROW,Sn,0.4
1846,EU27,Zn,0.75
1846,EU27,Ni,0.75
1846,EU27,Sn,0.75
1846,CHN,Zn,0.55
1846,CHN,Ni,0.55
1846,CHN,Sn,0.55
1846,ROW,Zn,0.4
1846,ROW,Ni,0.4
1846,ROW,Sn,0.4
1847,EU27,Zn,0.75
1847,EU27,Ni,0.75
1847,EU27,Sn,0.75
1847,CHN,Zn,0.55
1847,CHN,Ni,0.55
1847,CHN,Sn,0.55
1847,ROW,Zn,0.4
1847,ROW,Ni,0.4
1847,ROW,Sn,0.4
1848,EU27,Zn,0.75
1848,EU27,Ni,0.75
1848,EU27,Sn,0.75
1848,CHN,Zn,0.55
1848,CHN,Ni,0.55
1848,CHN,Sn,0.55
1848,ROW,Zn,0.4
1848,ROW,Ni,0.4
1848,ROW,Sn,0.4
1849,EU27,Zn,0.75
1849,EU27,Ni,0.75
1849,EU27,Sn,0.75
1849,CHN,Zn,0.55
1849,CHN,Ni,0.55
1849,CHN,Sn,0.55
1849,ROW,Zn,0.4
1849,ROW,Ni,0.4
1849,ROW,Sn,0.4
1850,EU27,Zn,0.75
1850,EU27,Ni,0.75
1850,EU27,Sn,0.75
1850,CHN,Zn,0.55
1850,CHN,Ni,0.55
1850,CHN,Sn,0.55
1850,ROW,Zn,0.4
1850,ROW,Ni,0.4
1850,ROW,Sn,0.4
1851,EU27,Zn,0.75
1851,EU27,Ni,0.75
1851,EU27,Sn,0.75
1851,CHN,Zn,0.55
1851,CHN,Ni,0.55
1851,CHN,Sn,0.55
1851,ROW,Zn,0.4
1851,ROW,Ni,0.4
1851,ROW,Sn,0.4
1852,EU27,Zn,0.75
1852,EU27,Ni,0.75
1852,EU27,Sn,0.75
1852,CHN,Zn,0.55
1852,CHN,Ni,0.55
1852,CHN,Sn,0.55
1852,ROW,Zn,0.4
1852,ROW,Ni,0.4
1852,ROW,Sn,0.4
1853,EU27,Zn,0.75
1853,EU27,Ni,0.75
1853,EU27,Sn,0.75
1853,CHN,Zn,0.55
1853,CHN,Ni,0.55
1853,CHN,Sn,0.55
1853,ROW,Zn,0.4
1853,ROW,Ni,0.4
1853,ROW,Sn,0.4
1854,EU27,Zn,0.75
1854,EU27,Ni,0.75
1854,EU27,Sn,0.75
1854,CHN,Zn,0.55
1854,CHN,Ni,0.55
1854,CHN,Sn,0.55
1854,ROW,Zn,0.4
1854,ROW,Ni,0.4
1854,ROW,Sn,0.4
1855,EU27,Zn,0.75
1855,EU27,Ni,0.75
1855,EU27,Sn,0.75
1855,CHN,Zn,0.55
1855,CHN,Ni,0.55
1855,CHN,Sn,0.55
1855,ROW,Zn,0.4
1855,ROW,Ni,0.4
1855,ROW,Sn,0.4
1856,EU27,Zn,0.75
1856,EU27,Ni,0.75
1856,EU27,Sn,0.75
1856,CHN,Zn,0.55
1856,CHN,Ni,0.55
1856,CHN,Sn,0.55
1856,ROW,Zn,0.4
1856,ROW,Ni,0.4
1856,ROW,Sn,0.4
1857,EU27,Zn,0.75
1857,EU27,Ni,0.75
1857,EU27,Sn,0.75
1857,CHN,Zn,0.55
1857,CHN,Ni,0.55
1857,CHN,Sn,0.55
1857,ROW,Zn,0.4
1857,ROW,Ni,0.4
1857,ROW,Sn,0.4
1858,EU27,Zn,0.75
1858,EU27,Ni,0.75
1858,EU27,Sn,0.75
1858,CHN,Zn,0.55
1858,CHN,Ni,0.55
1858,CHN,Sn,0.55
1858,ROW,Zn,0.4
1858,ROW,Ni,0.4
1858,ROW,Sn,0.4
1859,EU27,Zn,0.75
1859,EU27,Ni,0.75
1859,EU27,Sn,0.75
1859,CHN,Zn,0.55
1859,CHN,Ni,0.55
1859,CHN,Sn,0.55
1859,ROW,Zn,0.4
1859,ROW,Ni,0.4
1859,ROW,Sn,0.4
1860,EU27,Zn,0.75
1860,EU27,Ni,0.75
1860,EU27,Sn,0.75
1860,CHN,Zn,0.55
1860,CHN,Ni,0.55
1860,CHN,Sn,0.55
1860,ROW,Zn,0.4
1860,ROW,Ni,0.4
1860,ROW,Sn,0.4
1861,EU27,Zn,0.75
1861,EU27,Ni,0.75
1861,EU27,Sn,0.75
1861,CHN,Zn,0.55
1861,CHN,Ni,0.55
1861,CHN,Sn,0.55
