t,r,m,value
1838,CHN,Sn,0.49072759574029023
1838,ROW,Zn,20.51229147241096
1838,ROW,Ni,0.0
1838,ROW,Sn,2.2925677525642825
1839,EU27,Zn,53.121145787346066
1839,EU27,Ni,3.9331425795599437
1839,EU27,Sn,3.8802282538966995
1839,CHN,Zn,1.2314581380836433
1839,CHN,Ni,0.013733126923279368
1839,CHN,Sn,0.5017624783199844
1839,ROW,Zn,20.876247656934144
1839,ROW,Ni,0.0
1839,ROW,Sn,2.328333670630984
1840,EU27,Zn,54.53875009235636
1840,EU27,Ni,3.9687154375479214
1840,EU27,Sn,4.005157884675963
1840,CHN,Zn,1.2540059220248956
1840,CHN,Ni,0.013970011948006263
1840,CHN,Sn,0.5121153950387588
1840,ROW,Zn,21.21262669176538
1840,ROW,Ni,0.0
1840,ROW,Sn,2.3613217819002084
1841,EU27,Zn,55.961942166886814
1841,EU27,Ni,4.003156709369572
1841,EU27,Sn,4.108160821394929
1841,CHN,Zn,1.2749076155805839
1841,CHN,Ni,0.014193172543686962
1841,CHN,Sn,0.521836180281158
1841,ROW,Zn,21.523883720992625
1841,ROW,Ni,0.0
1841,ROW,Sn,2.3918137029054565
1842,EU27,Zn,57.25242941431894
1842,EU27,Ni,4.036518246697032
1842,EU27,Sn,4.221065927313209
1842,CHN,Zn,1.2942960162059136
1842,CHN,Ni,0.014403476110458122
1842,CHN,Sn,0.5309706418950242
1842,ROW,Zn,21.8122344938765
1842,ROW,Ni,0.0
1842,ROW,Sn,2.4200577447510816
1843,EU27,Zn,58.5544032135509
1843,EU27,Ni,4.0688482184135175
1843,EU27,Sn,4.313118101811334
1843,CHN,Zn,1.3122925735926882
1843,CHN,Ni,0.014601731607817928
1843,CHN,Sn,0.5395609050028729
1843,ROW,Zn,22.07967986411335
1843,ROW,Ni,0.0
1843,ROW,Sn,2.446273168194213
1844,EU27,Zn,59.73208677983656
1844,EU27,Ni,4.100191454398298
1844,EU27,Sn,4.415655083802128
1844,CHN,Zn,1.3290083898454295
1844,CHN,Ni,0.01478869367288383
1844,CHN,Sn,0.5476457255833491
1844,ROW,Zn,22.328027714510572
1844,ROW,Ni,0.0
1844,ROW,Sn,2.4706538739764357
1845,EU27,Zn,60.926119731555644
1845,EU27,Ni,4.13058975337512
1845,EU27,Sn,4.498246259522904
1845,CHN,Zn,1.344545130014435
1845,CHN,Ni,0.014965066438921254
1845,CHN,Sn,0.5552607765229925
1845,ROW,Zn,22.558912581938312
1845,ROW,Ni,0.0
1845,ROW,Sn,2.4933716048583734
1846,EU27,Zn,62.00327021756072
1846,EU27,Ni,4.16008215875703
1846,EU27,Sn,4.591763169391344
1846,CHN,Zn,1.3589958510975217
1846,CHN,Ni,0.01513150707651809
1846,CHN,Sn,0.5624389085951805
1846,ROW,Zn,22.773813227773342
1846,ROW,Ni,0.0
1846,ROW,Sn,2.514578725347022
1847,EU27,Zn,63.10077813463461
1847,EU27,Ni,4.188705205978227
1847,EU27,Sn,4.666111657633425
1847,CHN,Zn,1.3724457568838344
1847,CHN,Ni,0.015288629078067408
1847,CHN,Sn,0.5692103886018185
1847,ROW,Zn,22.974068372624483
1847,ROW,Ni,0.0
1847,ROW,Sn,2.5344106360834573
1848,EU27,Zn,64.08796921812355
1848,EU27,Ni,4.21649314441291
1848,EU27,Sn,4.7517170959668364
1848,CHN,Zn,1.3849728853421488
1848,CHN,Ni,0.01543700530464521
1848,CHN,Sn,0.575603116712084
1848,ROW,Zn,23.160890790570825
1848,ROW,Ni,0.0
1848,ROW,Sn,2.5529878720781025
1849,EU27,Zn,65.09881820343868
1849,EU27,Ni,4.243478136635426
1849,EU27,Sn,4.818829652628156
1849,CHN,Zn,1.3966487346465124
1849,CHN,Ni,0.015577170812918753
1849,CHN,Sn,0.5816428248495014
1849,ROW,Zn,23.335379937142864
1849,ROW,Ni,0.0
1849,ROW,Sn,2.5704179272705705
1850,EU27,Zn,66.00520807598724
1850,EU27,Ni,4.269690437469818
1850,EU27,Sn,4.897444889243707
1850,CHN,Zn,1.4075388333781091
1850,CHN,Ni,0.015709625478383393
1850,CHN,Sn,0.587353257812157
1850,ROW,Zn,23.498533266551924
1850,ROW,Ni,0.0
1850,ROW,Sn,2.586796842103231
1851,EU27,Zn,66.9379686602406
1851,EU27,Ni,4.295158555005321
1851,EU27,Sn,4.958162112712925
1851,CHN,Zn,1.4177032599388866
1851,CHN,Ni,0.015834836429991728
1851,CHN,Sn,0.5927563386594623
1851,ROW,Zn,23.6512563769778
1851,ROW,Ni,0.0
1851,ROW,Sn,2.602210585804899
1852,EU27,Zn,67.77152964109771
1852,EU27,Ni,4.3199093955134975
