t,r,m,value
1838,CHN,Zn,10.130413063338512
1838,CHN,Ni,0.0309666666666666
1838,CHN,Sn,9.565245291481174
1838,ROW,Zn,307.23833936672565
1838,ROW,Ni,0.0309666666666666
1838,ROW,Sn,80.60444653301941
1839,EU27,Zn,136.54426712531583
1839,EU27,Ni,0.0309666666666666
1839,EU27,Sn,5.102870809175962
1839,CHN,Zn,10.130413063338512
1839,CHN,Ni,0.0309666666666666
1839,CHN,Sn,9.565245291481174
1839,ROW,Zn,307.23833936672565
1839,ROW,Ni,0.0309666666666666
1839,ROW,Sn,80.60444653301941
1840,EU27,Zn,136.54426712531583
1840,EU27,Ni,0.0309666666666666
1840,EU27,Sn,5.102870809175962
1840,CHN,Zn,10.130413063338512
1840,CHN,Ni,0.0309666666666666
1840,CHN,Sn,9.565245291481174
1840,ROW,Zn,307.23833936672565
1840,ROW,Ni,0.0309666666666666
1840,ROW,Sn,80.60444653301941
1841,EU27,Zn,136.54426712531583
1841,EU27,Ni,0.0309666666666666
1841,EU27,Sn,5.102870809175962
1841,CHN,Zn,10.130413063338512
1841,CHN,Ni,0.0309666666666666
1841,CHN,Sn,9.565245291481174
1841,ROW,Zn,307.23833936672565
1841,ROW,Ni,0.0309666666666666
1841,ROW,Sn,80.60444653301941
1842,EU27,Zn,136.54426712531583
1842,EU27,Ni,0.0309666666666666
1842,EU27,Sn,5.102870809175962
1842,CHN,Zn,10.130413063338512
1842,CHN,Ni,0.0309666666666666
1842,CHN,Sn,9.565245291481174
1842,ROW,Zn,307.23833936672565
1842,ROW,Ni,0.0309666666666666
1842,ROW,Sn,80.60444653301941
1843,EU27,Zn,136.54426712531583
1843,EU27,Ni,0.0309666666666666
1843,EU27,Sn,5.102870809175962
1843,CHN,Zn,10.130413063338512
1843,CHN,Ni,0.0309666666666666
1843,CHN,Sn,9.565245291481174
1843,ROW,Zn,307.23833936672565
1843,ROW,Ni,0.0309666666666666
1843,ROW,Sn,80.60444653301941
1844,EU27,Zn,136.54426712531583
1844,EU27,Ni,0.0309666666666666
1844,EU27,Sn,5.102870809175962
1844,CHN,Zn,10.130413063338512
1844,CHN,Ni,0.0309666666666666
1844,CHN,Sn,9.565245291481174
1844,ROW,Zn,307.23833936672565
1844,ROW,Ni,0.0309666666666666
1844,ROW,Sn,80.60444653301941
1845,EU27,Zn,136.54426712531583
1845,EU27,Ni,0.0309666666666666
1845,EU27,Sn,5.102870809175962
1845,CHN,Zn,10.130413063338512
1845,CHN,Ni,0.0309666666666666
1845,CHN,Sn,9.565245291481174
1845,ROW,Zn,307.23833936672565
1845,ROW,Ni,0.0309666666666666
1845,ROW,Sn,80.60444653301941
1846,EU27,Zn,136.54426712531583
1846,EU27,Ni,0.0309666666666666
1846,EU27,Sn,5.102870809175962
1846,CHN,Zn,10.130413063338512
1846,CHN,Ni,0.0309666666666666
1846,CHN,Sn,9.565245291481174
1846,ROW,Zn,307.23833936672565
1846,ROW,Ni,0.0309666666666666
1846,ROW,Sn,80.60444653301941
1847,EU27,Zn,136.54426712531583
1847,EU27,Ni,0.0309666666666666
1847,EU27,Sn,5.102870809175962
1847,CHN,Zn,10.130413063338512
1847,CHN,Ni,0.0309666666666666
1847,CHN,Sn,9.565245291481174
1847,ROW,Zn,307.23833936672565
1847,ROW,Ni,0.0309666666666666
1847,ROW,Sn,80.60444653301941
1848,EU27,Zn,136.54426712531583
1848,EU27,Ni,0.0309666666666666
1848,EU27,Sn,5.102870809175962
1848,CHN,Zn,10.130413063338512
1848,CHN,Ni,0.0309666666666666
1848,CHN,Sn,9.565245291481174
1848,ROW,Zn,307.23833936672565
1848,ROW,Ni,0.0309666666666666
1848,ROW,Sn,80.60444653301941
1849,EU27,Zn,136.54426712531583
1849,EU27,Ni,0.0309666666666666
1849,EU27,Sn,5.102870809175962
1849,CHN,Zn,10.130413063338512
1849,CHN,Ni,0.0309666666666666
1849,CHN,Sn,9.565245291481174
1849,ROW,Zn,307.23833936672565
1849,ROW,Ni,0.0309666666666666
1849,ROW,Sn,80.60444653301941
1850,EU27,Zn,136.54426712531583
1850,EU27,Ni,0.0309666666666666
1850,EU27,Sn,5.102870809175962
1850,CHN,Zn,10.130413063338512
1850,CHN,Ni,0.0309666666666666
1850,CHN,Sn,9.565245291481174
1850,ROW,Zn,307.23833936672565
1850,ROW,Ni,0.0309666666666666
1850,ROW,Sn,80.60444653301941
1851,EU27,Zn,136.54426712531583
1851,EU27,Ni,0.0309666666666666
1851,EU27,Sn,5.102870809175962
1851,CHN,Zn,10.130413063338512
1851,CHN,Ni,0.0309666666666666
1851,CHN,Sn,9.565245291481174
1851,ROW,Zn,307.23833936672565
1851,ROW,Ni,0.0309666666666666
1851,ROW,Sn,80.60444653301941
1852,EU27,Zn,136.54426712531583
1852,EU27,Ni,0.0309666666666666
1852,EU27,Sn,5.102870809175962
1852,CHN,Zn,10.130413063338512
1852,CHN,Ni,0.0309666666666666
1852,CHN,Sn,9.565245291481174
1852,ROW,Zn,307.23833936672565
1852,ROW,Ni,0.0309666666666666
1852,ROW,Sn,80.60444653301941
1853,EU27,Zn,136.54426712531583
1853,EU27,Ni,0.0309666666666666
1853,EU27,Sn,5.102870809175962
1853,CHN,Zn,10.130413063338512
1853,CHN,Ni,0.0309666666666666
1853,CHN,Sn,9.565245291481174
1853,ROW,Zn,307.23833936672565
1853,ROW,Ni,0.0309666666666666
1853,ROW,Sn,80.60444653301941
1854,EU27,Zn,136.54426712531583
1854,EU27,Ni,0.0309666666666666
1854,EU27,Sn,5.102870809175962
1854,CHN,Zn,10.130413063338512
1854,CHN,Ni,0.0309666666666666
1854,CHN,Sn,9.565245291481174
1854,ROW,Zn,307.23833936672565
1854,ROW,Ni,0.0309666666666666
1854,ROW,Sn,80.60444653301941
1855,EU27,Zn,136.54426712531583
1855,EU27,Ni,0.0309666666666666
1855,EU27,Sn,5.102870809175962
1855,CHN,Zn,10.130413063338512
1855,CHN,Ni,0.0309666666666666
1855,CHN,Sn,9.565245291481174
1855,ROW,Zn,307.23833936672565
1855,ROW,Ni,0.0309666666666666
1855,ROW,Sn,80.60444653301941
1856,EU27,Zn,136.54426712531583
1856,EU27,Ni,0.0309666666666666
1856,EU27,Sn,5.102870809175962
1856,CHN,Zn,10.130413063338512
1856,CHN,Ni,0.0309666666666666
1856,CHN,Sn,9.565245291481174
1856,ROW,Zn,307.23833936672565
1856,ROW,Ni,0.0309666666666666
1856,ROW,Sn,80.60444653301941
1857,EU27,Zn,136.54426712531583
1857,EU27,Ni,0.0309666666666666
1857,EU27,Sn,5.102870809175962
1857,CHN,Zn,10.130413063338512
1857,CHN,Ni,0.0309666666666666
1857,CHN,Sn,9.565245291481174
1857,ROW,Zn,307.23833936672565
1857,ROW,Ni,0.0309666666666666
1857,ROW,Sn,80.60444653301941
1858,EU27,Zn,136.54426712531583
1858,EU27,Ni,0.0309666666666666
1858,EU27,Sn,5.102870809175962
1858,CHN,Zn,10.130413063338512
1858,CHN,Ni,0.0309666666666666
1858,CHN,Sn,9.565245291481174
1858,ROW,Zn,307.23833936672565
1858,ROW,Ni,0.0309666666666666
1858,ROW,Sn,80.60444653301941
1859,EU27,Zn,136.54426712531583
