t,o,d,m,c,value
1821,CHN,ROW,Sn,scrap,0.03164210942207985
1821,EU27,CHN,Sn,scrap,0.0055947914650800595
1821,EU27,EU27,Sn,scrap,0.4500698664978261
1821,EU27,ROW,Sn,scrap,0.24834656321373366
1821,ROW,CHN,Sn,scrap,0.005395423148271751
1821,ROW,EU27,Sn,scrap,0.4340317938922857
1821,ROW,ROW,Sn,scrap,0.23949682563154087
1821,CHN,CHN,Zn,concentrate,
1821,CHN,EU27,Zn,concentrate,
1821,CHN,ROW,Zn,concentrate,
1821,EU27,CHN,Zn,concentrate,
1821,EU27,EU27,Zn,concentrate,
1821,EU27,ROW,Zn,concentrate,
1821,ROW,CHN,Zn,concentrate,
1821,ROW,EU27,Zn,concentrate,
1821,ROW,ROW,Zn,concentrate,
1821,CHN,CHN,Zn,refined_metal,0.0
1821,CHN,EU27,Zn,refined_metal,0.3245845527299561
1821,CHN,ROW,Zn,refined_metal,0.0
1821,EU27,CHN,Zn,refined_metal,0.0
1821,EU27,EU27,Zn,refined_metal,0.0
1821,EU27,ROW,Zn,refined_metal,0.0
1821,ROW,CHN,Zn,refined_metal,0.0
1821,ROW,EU27,Zn,refined_metal,10.661589845372296
1821,ROW,ROW,Zn,refined_metal,0.0
1821,CHN,CHN,Zn,scrap,0.02575963383465035
1821,CHN,EU27,Zn,scrap,0.0791738951464552
1821,CHN,ROW,Zn,scrap,0.03503924190517394
1821,EU27,CHN,Zn,scrap,0.4514876967818587
1821,EU27,EU27,Zn,scrap,1.3876765405274496
1821,EU27,ROW,Zn,scrap,0.6141308811412342
1821,ROW,CHN,Zn,scrap,0.5049537912799972
1821,ROW,EU27,Zn,scrap,1.5520080285780264
1821,ROW,ROW,Zn,scrap,0.6868575134711223
1822,CHN,CHN,Ni,concentrate,
1822,CHN,EU27,Ni,concentrate,
1822,CHN,ROW,Ni,concentrate,
1822,EU27,CHN,Ni,concentrate,
1822,EU27,EU27,Ni,concentrate,
1822,EU27,ROW,Ni,concentrate,
1822,ROW,CHN,Ni,concentrate,
1822,ROW,EU27,Ni,concentrate,
1822,ROW,ROW,Ni,concentrate,
1822,CHN,CHN,Ni,refined_metal,0.0
1822,CHN,EU27,Ni,refined_metal,0.0
1822,CHN,ROW,Ni,refined_metal,0.0
1822,EU27,CHN,Ni,refined_metal,0.0
1822,EU27,EU27,Ni,refined_metal,0.0
1822,EU27,ROW,Ni,refined_metal,0.0
1822,ROW,CHN,Ni,refined_metal,1.0716831958411178e-05
1822,ROW,EU27,Ni,refined_metal,0.00435108503105571
1822,ROW,ROW,Ni,refined_metal,0.0
1822,CHN,CHN,Ni,scrap,1.1924813745121106e-05
1822,CHN,EU27,Ni,scrap,0.0007167818725539928
1822,CHN,ROW,Ni,scrap,0.0017330489751802777
1822,EU27,CHN,Ni,scrap,0.00354356472044261
1822,EU27,EU27,Ni,scrap,0.2129981239224231
1822,EU27,ROW,Ni,scrap,0.5149909540315158
1822,ROW,CHN,Ni,scrap,0.00034879685424191864
1822,ROW,EU27,Ni,scrap,0.02096563247595826
1822,ROW,ROW,Ni,scrap,0.05069110878460289
1822,CHN,CHN,Sn,concentrate,
1822,CHN,EU27,Sn,concentrate,
1822,CHN,ROW,Sn,concentrate,
1822,EU27,CHN,Sn,concentrate,
1822,EU27,EU27,Sn,concentrate,
1822,EU27,ROW,Sn,concentrate,
1822,ROW,CHN,Sn,concentrate,
1822,ROW,EU27,Sn,concentrate,
1822,ROW,ROW,Sn,concentrate,
1822,CHN,CHN,Sn,refined_metal,0.0
1822,CHN,EU27,Sn,refined_metal,0.5619247413890187
1822,CHN,ROW,Sn,refined_metal,0.0
1822,EU27,CHN,Sn,refined_metal,0.0
1822,EU27,EU27,Sn,refined_metal,0.0
1822,EU27,ROW,Sn,refined_metal,0.0
1822,ROW,CHN,Sn,refined_metal,0.0
1822,ROW,EU27,Sn,refined_metal,5.75662378250618
1822,ROW,ROW,Sn,refined_metal,0.0
1822,CHN,CHN,Sn,scrap,0.001209614022216534
1822,CHN,EU27,Sn,scrap,0.09730672267069092
1822,CHN,ROW,Sn,scrap,0.053693419514844846
1822,EU27,CHN,Sn,scrap,0.008948515579574871
1822,EU27,EU27,Sn,scrap,0.7198583249063685
1822,EU27,ROW,Sn,scrap,0.39721464221190067
1822,ROW,CHN,Sn,scrap,0.009472895713953636
1822,ROW,EU27,Sn,scrap,0.7620417911797779
1822,ROW,ROW,Sn,scrap,0.4204912924683653
1822,CHN,CHN,Zn,concentrate,
